measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2001-01-01,10852.0,112133.72,112133.72
2001-02-01,9447.0,97615.85,97615.85
2001-03-01,9202.0,95084.27,95084.27
2001-04-01,8631.0,89184.12,89184.12
2001-05-01,7866.0,81279.38,81279.38
2001-06-01,9239.0,95466.59,95466.59
2001-07-01,8952.0,92501.02,92501.02
2001-08-01,9079.0,93813.31,93813.31
2001-09-01,9159.0,94639.95,94639.95
2001-10-01,10170.0,105086.61,105086.61
2001-11-01,10167.0,105055.61,105055.61
2001-12-01,11846.0,122404.72,122404.72
2002-01-01,11356.0,115524.59,115524.59
2002-02-01,10594.0,107772.76,107772.76
2002-03-01,11013.0,112035.25,112035.25
2002-04-01,8818.0,89705.51,89705.51
2002-05-01,10085.0,102594.71,102594.71
2002-06-01,9133.0,92910.01,92910.01
2002-07-01,9587.0,97528.55,97528.55
2002-08-01,9435.0,95982.26,95982.26
2002-09-01,9435.0,95982.26,95982.26
2002-10-01,9970.0,101424.81,101424.81
2002-11-01,9789.0,99583.5,99583.5
2002-12-01,10979.0,111689.37,111689.37
2003-01-01,11112.0,113797.99,113797.99
2003-02-01,9383.0,96091.3,96091.3
2003-03-01,10753.0,110121.47,110121.47
2003-04-01,10134.0,103782.29,103782.29
2003-05-01,10179.0,104243.14,104243.14
2003-06-01,11240.0,115108.84,115108.84
2003-07-01,9406.0,96326.85,96326.85
2003-08-01,9641.0,98733.48,98733.48
2003-09-01,9447.0,96746.73,96746.73
2003-10-01,10252.0,104990.73,104990.73
2003-11-01,10731.0,109896.17,109896.17
2003-12-01,11365.0,116388.97,116388.97
2005-01-01,9366.238000000001,93653.01,93653.01
2005-02-01,7908.598,79078.07,79078.07
2005-03-01,8953.239,89523.44,89523.44
2005-04-01,8958.107,89572.11,89572.11
2005-05-01,9512.616,95116.65,95116.65
2005-06-01,9393.666000000001,93927.27,93927.27
2005-07-01,9608.195,96072.34,96072.34
2005-08-01,9490.346,94893.97,94893.97
2005-09-01,9286.877,92859.48,92859.48
2005-10-01,9512.07,95111.19,95111.19
2005-11-01,9232.89,92319.67,92319.67
2005-12-01,9491.157000000001,94902.08,94902.08
2006-01-01,8835.309000000001,87637.43,87637.43
2006-02-01,8008.207,79433.41,79433.41
2006-03-01,9052.013,89786.92,89786.92
2006-04-01,8098.785000000001,80331.85,80331.85
2006-05-01,7877.796,78139.86,78139.86
2006-06-01,8550.861,84815.99,84815.99
2006-07-01,8983.463,89106.97,89106.97
2006-08-01,9173.02,90987.19,90987.19
2006-09-01,8681.103000000001,86107.86,86107.86
2006-10-01,9047.565,89742.8,89742.8
2006-11-01,8762.962,86919.82,86919.82
2006-12-01,9142.916000000001,90688.58,90688.58
2007-01-01,12742.374,125945.62,125945.62
2007-02-01,11110.956,109820.69,109820.69
2007-03-01,11851.074,117136.02,117136.02
2007-04-01,11526.001,113922.99,113922.99
2007-05-01,11620.635,114858.36,114858.36
2007-06-01,12423.114,122790.06,122790.06
2007-07-01,12487.909,123430.49,123430.49
2007-08-01,12452.594000000001,123081.44,123081.44
2007-09-01,12206.747,120651.49,120651.49
2007-10-01,12614.338,124680.12,124680.12
2007-11-01,12084.893,119447.08,119447.08
2007-12-01,12461.363000000001,123168.11,123168.11
2008-01-01,13532.095000000001,133345.26,133345.26
2008-02-01,12240.317,120616.08,120616.08
2008-03-01,12871.376,126834.54000000001,126834.54000000001
2008-04-01,12412.385,122311.64,122311.64
2008-05-01,12859.630000000001,126718.79000000001,126718.79000000001
2008-06-01,13056.67,128660.43000000001,128660.43000000001
2008-07-01,13306.464,131121.9,131121.9
2008-08-01,13146.718,129547.76000000001,129547.76000000001
2008-09-01,12768.793,125823.69,125823.69
2008-10-01,13206.135,130133.25,130133.25
2008-11-01,12613.34,124291.85,124291.85
2008-12-01,12837.077000000001,126496.56,126496.56
2009-01-01,12109.08,118184.62,118184.62
2009-02-01,10969.01,107057.54,107057.54
2009-03-01,12196.135,119034.28,119034.28
2009-04-01,11622.118,113431.87,113431.87
2009-05-01,11857.031,115724.62,115724.62
2009-06-01,11478.557,112030.72,112030.72
2009-07-01,12099.415,118090.29,118090.29
2009-08-01,11988.901,117011.67,117011.67
2009-09-01,11663.314,113833.94,113833.94
2009-10-01,11983.071,116954.77,116954.77
2009-11-01,11740.84,114590.6,114590.6
2009-12-01,12553.528,122522.43,122522.43
2010-01-01,8504.518,82970.0,82970.0
2010-02-01,7639.646000000001,74532.0,74532.0
2010-03-01,8327.596,81244.0,81244.0
2010-04-01,7881.237,76889.0,76889.0
2010-05-01,8276.495,80745.0,80745.0
2010-06-01,8017.9980000000005,78224.0,78224.0
2010-07-01,8246.435,80452.0,80452.0
2010-08-01,8300.321,80978.0,80978.0
2010-09-01,8051.362,78549.0,78549.0
2010-10-01,7712.692,75245.0,75245.0
2010-11-01,8071.343000000001,78744.0,78744.0
2010-12-01,8439.357,82334.0,82334.0
2011-01-01,8653.15,84074.0,84074.0
2011-02-01,7851.041,76281.0,76281.0
2011-03-01,8651.927,84062.0,84062.0
2011-04-01,7925.747,77007.0,77007.0
2011-05-01,8504.458,82629.0,82629.0
2011-06-01,7854.259,76312.0,76312.0
2011-07-01,8354.61,81173.0,81173.0
2011-08-01,8358.402,81210.0,81210.0
2011-09-01,7998.031,77709.0,77709.0
2011-10-01,8397.588,81591.0,81591.0
2011-11-01,8213.568,79803.0,79803.0
2011-12-01,8543.219,83006.0,83006.0
2012-01-01,7708.507,73354.0,73354.0
2012-02-01,7246.771,68960.0,68960.0
2012-03-01,7879.216,74979.0,74979.0
2012-04-01,7727.914,73539.0,73539.0
2012-05-01,7958.788,75736.0,75736.0
2012-06-01,7674.937,73035.0,73035.0
2012-07-01,8013.205,76254.0,76254.0
2012-08-01,7926.992,75433.0,75433.0
2012-09-01,7825.558,74468.0,74468.0
2012-10-01,7970.487,75847.0,75847.0
2012-11-01,7948.768,75640.0,75640.0
2012-12-01,8228.857,78306.0,78306.0
2013-01-01,7738.359,73832.0,73832.0
2013-02-01,6876.456,65608.0,65608.0
2013-03-01,7806.52,74482.0,74482.0
2013-04-01,7131.949,68046.0,68046.0
2013-05-01,7508.774,71641.0,71641.0
2013-06-01,7280.402,69462.0,69462.0
2013-07-01,7763.745,74074.0,74074.0
2013-08-01,7710.351,73564.0,73564.0
2013-09-01,7457.338,71150.0,71150.0
2013-10-01,7663.912,73121.0,73121.0
2013-11-01,6701.516,63939.0,63939.0
2013-12-01,7382.678,70438.0,70438.0
2014-01-01,6898.82,65608.0,65608.0
2014-02-01,6226.408,59213.0,59213.0
2014-03-01,6918.927,65799.0,65799.0
2014-04-01,6903.358,65651.0,65651.0
2014-05-01,7068.464,67221.0,67221.0
2014-06-01,6965.771,66244.0,66244.0
2014-07-01,7263.368,69075.0,69075.0
2014-08-01,7240.549,68858.0,68858.0
2014-09-01,7011.526,66680.0,66680.0
2014-10-01,7204.647,68516.0,68516.0
2014-11-01,7098.82,67510.0,67510.0
2014-12-01,7099.342,67515.0,67515.0
2015-01-01,6466.087,60257.0,60257.0
2015-02-01,5892.38,54911.0,54911.0
2015-03-01,6453.984,60145.0,60145.0
2015-04-01,5808.547,54130.0,54130.0
2015-05-01,6503.511,60606.0,60606.0
2015-06-01,6311.25,58815.0,58815.0
2015-07-01,6501.728,60590.0,60590.0
2015-08-01,6467.032,60266.0,60266.0
2015-09-01,5416.661,50478.0,50478.0
2015-10-01,6052.886,56407.0,56407.0
2015-11-01,5813.263,54174.0,54174.0
2015-12-01,5982.671,55753.0,55753.0
2016-01-01,5631.079,51986.0,51986.0
2016-02-01,5269.679,48650.0,48650.0
2016-03-01,5611.496,51805.0,51805.0
2016-04-01,5158.996,47628.0,47628.0
2016-05-01,5890.183,54378.0,54378.0
2016-06-01,5658.181,52236.0,52236.0
2016-07-01,6059.025,55937.0,55937.0
2016-08-01,6075.537,56089.0,56089.0
2016-09-01,5949.378,54925.0,54925.0
2016-10-01,5933.827,54781.0,54781.0
2016-11-01,5878.893,54274.0,54274.0
2016-12-01,6230.726,57522.0,57522.0
2017-01-01,5973.924,55038.0,55038.0
2017-02-01,5229.871,48183.0,48183.0
2017-03-01,5850.214,53898.0,53898.0
2017-04-01,5671.267,52249.0,52249.0
2017-05-01,5502.156,50691.0,50691.0
2017-06-01,5476.751,50457.0,50457.0
2017-07-01,5807.651,53506.0,53506.0
2017-08-01,5772.258,53180.0,53180.0
2017-09-01,5672.388,52260.0,52260.0
2017-10-01,5098.158,46969.0,46969.0
2017-11-01,5521.819,50873.0,50873.0
2017-12-01,5729.543,52786.0,52786.0
2018-01-01,7297.019,66432.0,66432.0
2018-02-01,6949.079,63264.0,63264.0
2018-03-01,7420.613,67557.0,67557.0
