measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2012-12-01,0.0,0.0,0.0,3206.0,30508.0,30508.0
2013-01-01,0.0,0.0,0.0,3833.0,36571.0,36571.0
2013-02-01,0.0,0.0,0.0,6100.0,58200.0,58200.0
2013-03-01,0.0,0.0,0.0,3642.0,34748.0,34748.0
2013-04-01,0.0,0.0,0.0,6551.0,62503.0,62503.0
2013-05-01,0.0,0.0,0.0,6477.0,61797.0,61797.0
2013-06-01,0.0,0.0,0.0,10636.0,101478.0,101478.0
2013-07-01,0.0,0.0,0.0,9079.0,86623.0,86623.0
2013-08-01,0.0,0.0,0.0,9571.0,91317.0,91317.0
2013-09-01,0.0,0.0,0.0,8877.0,84695.0,84695.0
2013-10-01,0.0,0.0,0.0,6887.0,65709.0,65709.0
2013-11-01,0.0,0.0,0.0,5774.0,55090.0,55090.0
2013-12-01,0.0,0.0,0.0,6543.0,62427.0,62427.0
2014-01-01,0.0,0.0,0.0,2527.0,24032.0,24032.0
2014-02-01,0.0,0.0,0.0,2917.0,27741.0,27741.0
2014-03-01,0.0,0.0,0.0,4942.0,46998.0,46998.0
2014-04-01,0.0,0.0,0.0,7421.0,70574.0,70574.0
2014-05-01,,,,8399.0,79874.0,79874.0
2014-06-01,,,,9500.0,90345.0,90345.0
2014-07-01,,,,11257.0,107054.0,107054.0
2014-08-01,,,,7553.0,71829.0,71829.0
2014-09-01,,,,6144.0,58429.0,58429.0
2014-10-01,,,,8420.0,80074.0,80074.0
2014-11-01,,,,6125.0,58249.0,58249.0
2014-12-01,,,,4549.0,43261.0,43261.0
2015-01-01,,,,2824.0,26317.0,26317.0
2015-02-01,,,,5553.0,51748.0,51748.0
2015-03-01,,,,4606.0,42923.0,42923.0
2015-04-01,,,,10444.0,97328.0,97328.0
2015-05-01,,,,7595.0,70778.0,70778.0
2015-06-01,,,,7096.0,66128.0,66128.0
2015-07-01,,,,7892.0,73546.0,73546.0
2015-08-01,,,,5975.0,55681.0,55681.0
2015-09-01,,,,8494.0,79156.0,79156.0
2015-10-01,,,,5396.0,50285.0,50285.0
2015-11-01,,,,11203.0,104401.0,104401.0
2015-12-01,,,,10656.0,99303.0,99303.0
2016-01-01,0.0,0.0,0.0,3060.0,28250.0,28250.0
2016-02-01,0.0,0.0,0.0,4708.0,43464.0,43464.0
2016-03-01,0.0,0.0,0.0,3946.0,36429.0,36429.0
2016-04-01,0.0,0.0,0.0,9998.0,92302.0,92302.0
2016-05-01,0.0,0.0,0.0,7567.0,69859.0,69859.0
2016-06-01,0.0,0.0,0.0,8721.0,80512.0,80512.0
2016-07-01,0.0,0.0,0.0,7992.0,73782.0,73782.0
2016-08-01,0.0,0.0,0.0,9568.0,88332.0,88332.0
2016-09-01,0.0,0.0,0.0,9396.0,86744.0,86744.0
2016-10-01,0.0,0.0,0.0,4342.0,40085.0,40085.0
2016-11-01,0.0,0.0,0.0,9047.0,83522.0,83522.0
2016-12-01,-40.0,0.0,0.0,5799.0,53536.0,53536.0
2017-01-01,-58.372,0.0,0.0,6363.726,58629.0,58629.0
2017-02-01,-53.223,0.0,0.0,6658.397,61344.0,61344.0
2017-03-01,-59.795,0.0,0.0,7704.658,70983.0,70983.0
2017-04-01,-59.411,0.0,0.0,7513.205,69219.0,69219.0
2017-05-01,-61.673,0.0,0.0,6633.344,61113.0,61113.0
2017-06-01,-60.547,0.0,0.0,5702.825,52540.0,52540.0
2017-07-01,-65.198,0.0,0.0,4661.895,42950.0,42950.0
2017-08-01,-65.511,0.0,0.0,3832.603,35310.0,35310.0
2017-09-01,-57.857,0.0,0.0,5162.414,47561.0,47561.0
2017-10-01,-57.599,0.0,0.0,7034.802,64812.0,64812.0
2017-11-01,-60.704,0.0,0.0,6470.793,59615.0,59615.0
2017-12-01,-64.11,0.0,0.0,6273.338,57796.0,57796.0
2018-01-01,-81.135,0.0,0.0,8550.117,77840.0,77840.0
2018-02-01,-73.325,0.0,0.0,7612.487,69304.0,69304.0
2018-03-01,-82.682,0.0,0.0,8851.963,80588.0,80588.0
2018-04-01,-76.954,0.0,0.0,8800.466,80119.0,80119.0
2018-05-01,-79.82,0.0,0.0,7844.525,71417.0,71417.0
2018-06-01,-84.039,0.0,0.0,8225.834,74888.0,74888.0
2018-07-01,-84.267,0.0,0.0,5136.648,46764.0,46764.0
2018-08-01,-85.18,0.0,0.0,6473.738,58937.0,58937.0
2018-09-01,-74.858,0.0,0.0,5848.059,53241.0,53241.0
2018-10-01,-81.009,0.0,0.0,6752.072,61471.0,61471.0
2018-11-01,-81.0,0.0,0.0,7189.272,65451.0,65451.0
2018-12-01,-84.731,0.0,0.0,7739.819,70463.0,70463.0
