measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,77.416,2411.0,9499.0,22.371000000000002,431.0,2480.0,1451.681,33820.0,166738.0
2001-02-01,66.551,2073.0,8166.0,19.232,371.0,2132.0,1247.955,29074.0,143338.0
2001-03-01,75.85900000000001,2363.0,9308.0,21.921,422.0,2430.0,1422.487,33140.0,163385.0
2001-04-01,73.08800000000001,2277.0,8968.0,21.121000000000002,407.0,2342.0,1370.529,31930.0,157417.0
2001-05-01,62.279,1940.0,7642.0,17.997,347.0,1995.0,1167.834,27208.0,134136.0
2001-06-01,74.584,2323.0,9152.0,21.553,415.0,2389.0,1398.587,32584.0,160640.0
2001-07-01,93.083,2900.0,11422.0,26.899,518.0,2982.0,1745.4740000000002,40665.0,200483.0
2001-08-01,115.76700000000001,3606.0,14205.0,33.454,645.0,3709.0,2170.832,50575.0,249339.0
2001-09-01,91.97800000000001,2865.0,11286.0,26.58,512.0,2947.0,1724.755,40182.0,198103.0
2001-10-01,86.94800000000001,2708.0,10669.0,25.126,484.0,2786.0,1630.423,37985.0,187268.0
2001-11-01,90.695,2825.0,11129.0,26.209,505.0,2906.0,1700.691,39622.0,195339.0
2001-12-01,98.751,3076.0,12117.0,28.537000000000003,550.0,3164.0,1851.7530000000002,43141.0,212690.0
2002-01-01,414.815,4979.0,20538.0,2.8810000000000002,35.0,142.0,4207.518,50498.0,208304.0
2002-02-01,424.28400000000005,5093.0,21007.0,2.947,35.0,146.0,4303.5650000000005,51651.0,213059.0
2002-03-01,419.66200000000003,5037.0,20778.0,2.915,35.0,144.0,4256.685,51088.0,210738.0
2002-04-01,356.514,4279.0,17651.0,2.476,30.0,122.0,3616.163,43400.0,179028.0
2002-05-01,270.059,3241.0,13371.0,1.8760000000000001,22.0,93.0,2739.24,32876.0,135613.0
2002-06-01,355.624,4268.0,17607.0,2.47,30.0,122.0,3607.137,43292.0,178581.0
2002-07-01,452.298,5429.0,22394.0,3.1420000000000003,38.0,155.0,4587.72,55061.0,227127.0
2002-08-01,465.04600000000005,5582.0,23025.0,3.23,39.0,160.0,4717.025000000001,56613.0,233529.0
2002-09-01,395.024,4741.0,19558.0,2.744,33.0,136.0,4006.777,48089.0,198366.0
2002-10-01,382.90700000000004,4596.0,18958.0,2.66,32.0,132.0,3883.871,46613.0,192281.0
2002-11-01,332.863,3995.0,16480.0,2.3120000000000003,28.0,114.0,3376.271,40521.0,167151.0
2002-12-01,481.905,5784.0,23860.0,3.347,40.0,166.0,4888.027,58665.0,241995.0
2003-01-01,621.5980000000001,8072.0,43369.0,58.825,764.0,4106.0,4620.486,60001.0,322356.0
2003-02-01,554.648,7203.0,38698.0,52.489000000000004,682.0,3664.0,4122.837,53538.0,287636.0
2003-03-01,549.51,7136.0,38339.0,52.003,676.0,3630.0,4084.64,53042.0,284972.0
2003-04-01,467.156,6067.0,32593.0,44.209,574.0,3086.0,3472.487,45093.0,242264.0
2003-05-01,500.87300000000005,6505.0,34946.0,47.4,616.0,3309.0,3723.11,48348.0,259749.0
2003-06-01,551.9490000000001,7168.0,38510.0,52.234,679.0,3646.0,4102.775000000001,53278.0,286237.0
2003-07-01,607.207,7886.0,42365.0,57.463,747.0,4011.0,4513.517,58612.0,314893.0
2003-08-01,641.239,8327.0,44739.0,60.684000000000005,788.0,4236.0,4766.485000000001,61897.0,332541.0
2003-09-01,521.726,6775.0,36401.0,49.374,642.0,3446.0,3878.1150000000002,50361.0,270563.0
2003-10-01,490.057,6364.0,34191.0,46.377,603.0,3237.0,3642.7160000000003,47304.0,254140.0
2003-11-01,514.171,6677.0,35874.0,48.659,632.0,3397.0,3821.96,49631.0,266645.0
2003-12-01,615.865,7998.0,42969.0,58.283,757.0,4068.0,4577.8730000000005,59448.0,319383.0
2004-01-01,278.80969,1398.01,13888.31,5.33042,26.73,265.52,5317.01789,26660.63,264855.98
2004-02-01,268.58234,1346.73,13371.05,1.77847,8.92,88.54,4862.99419,24384.07,242098.3
2004-03-01,260.66040000000004,1307.01,12976.15,1.68729,8.46,84.0,4357.07531,21847.29,216903.09
2004-04-01,216.25465,1084.35,10763.86,0.0,0.0,0.0,4692.04635,23526.89,233541.95
2004-05-01,253.15645,1269.38,12614.89,7.4154,37.18,369.51,5886.69015,29517.09,293336.28
2004-06-01,211.93947,1062.71,12030.33,640.98176,3214.02,36384.07,3861.28077,19361.27,219178.02
2004-07-01,239.50031,1200.9,13895.82,730.23673,3661.56,42368.38,3680.07396,18452.66,213518.12
2004-08-01,213.36572,1069.86,12817.35,724.75054,3634.05,43537.37,2886.96474,14475.84,173426.36
2004-09-01,184.44355000000002,924.84,9860.59,304.76277,1528.14,16293.01,3510.89368,17604.36,187696.94
2004-10-01,215.34620999999999,1079.79,10725.2,3.30646,16.58,164.68,4301.46433,21568.44,214232.17
2004-11-01,204.65554,1026.19,10186.25,0.19927999999999998,1.0,9.92,3972.43617,19918.62,197718.64
2004-12-01,236.29995,1184.86,11760.01,0.0,0.0,0.0,4176.70905,20942.89,207863.6
2005-01-01,265.40983,1330.82,12186.24,47.41399,237.74,2177.0,5018.53518,25163.98,230425.05
2005-02-01,231.88289,1162.71,10646.86,42.795989999999996,214.59,1964.97,4516.52412,22646.79,207375.29
2005-03-01,251.44362,1260.79,11544.98,46.18566,231.58,2120.61,4821.45272,24175.77,221376.05
2005-04-01,211.73556,1061.69,9721.8,46.40748,232.7,2130.79,4748.45396,23809.74,218024.41
2005-05-01,251.75409,1262.35,11559.24,50.96953,255.57,2340.26,4755.72738,23846.21,218358.3
2005-06-01,259.48190999999997,1301.1,11914.06,65.46728999999999,328.27,3005.92,4924.3328,24691.63,226099.68
2005-07-01,276.47251,1386.29,12694.18,83.8321,420.35,3849.13,5132.19038,25733.87,235643.42
2005-08-01,272.25778,1365.16,12500.66,86.87671,435.62,3988.93,5068.39451,25413.99,232714.37
2005-09-01,255.46267,1280.94,11729.52,65.52367,328.55,3008.51,4890.84665,24523.73,224562.29
2005-10-01,251.61034999999998,1261.63,11552.64,50.85895,255.02,2335.18,4991.8207,25030.03,229198.47
2005-11-01,249.73610000000002,1252.23,11466.58,45.37833,227.54,2083.54,4836.80457,24252.75,222080.78
2005-12-01,270.14195,1354.55,12403.51,51.77532,259.61,2377.25,4925.34173,24696.69,226146.05
2006-01-01,201.73506,1011.54,9690.38,53.44421,267.98,2567.2,4889.3747299999995,24516.35,234862.1
2006-02-01,188.31398000000002,944.25,9045.7,47.12034,236.27,2263.43,4235.59368,21238.15,203457.51
2006-03-01,184.09839,923.11,8843.21,52.19208,261.7,2507.06,4500.65053,22567.2,216189.77
2006-04-01,165.97825,832.25,7972.8,49.72871,249.35,2388.73,4499.07704,22559.31,216114.11
2006-05-01,186.78598,936.58,8972.3,57.96297,290.64,2784.26,4468.85105,22407.75,214662.21
2006-06-01,206.06598,1033.26,9898.42,61.438100000000006,308.06,2951.19,4585.89392,22994.63,220284.23
2006-07-01,216.99730000000002,1088.07,10423.51,69.17645,346.87,3322.91,4991.86225,25030.24,239785.18
2006-08-01,220.21251,1104.19,10577.95,71.46347,358.33,3432.76,4894.64502,24542.77,235115.26
2006-09-01,187.84116999999998,941.87,9022.99,58.18812,291.77,2795.08,4712.59071,23629.92,226370.34
