measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2012-01-01,9538.683,112972.0,641973.0,2377.825,28162.0,160032.0,3119.816,36950.0,209970.0,5522.739,65409.0,371692.0
2012-02-01,12519.198,148271.0,612624.0,3902.255,46216.0,190956.0,382.55,4531.0,18720.0,6946.137,82267.0,339907.0
2012-03-01,13502.929,159922.0,590045.0,5822.858,68963.0,254445.0,420.161,4976.0,18360.0,7037.779,83352.0,307534.0
2012-04-01,11984.195,141935.0,654461.0,3350.77,39685.0,182987.0,344.44,4079.0,18810.0,5848.6,69268.0,319394.0
2012-05-01,12710.413,150536.0,652953.0,4663.203,55229.0,239556.0,300.166,3555.0,15420.0,5046.916,59773.0,259268.0
2012-06-01,12850.56,152196.0,626425.0,3078.502,36460.0,150067.0,329.867,3907.0,16080.0,6920.792,81967.0,337367.0
2012-07-01,12975.881,153680.0,623376.0,2737.688,32424.0,131522.0,337.211,3994.0,16200.0,7128.941,84432.0,342482.0
2012-08-01,13174.608,156034.0,649492.0,2877.574,34081.0,141861.0,0.0,0.0,0.0,7239.895,85746.0,356918.0
2012-09-01,9777.373,115799.0,505653.0,2797.312,33130.0,144668.0,0.0,0.0,0.0,6263.52,74182.0,323929.0
2012-10-01,12240.284,144968.0,634931.0,2947.579,34910.0,152898.0,0.0,0.0,0.0,7142.953,84598.0,370521.0
2012-11-01,9250.853,109563.0,548619.0,3018.596,35751.0,179017.0,0.0,0.0,0.0,5740.017,67982.0,340410.0
2012-12-01,7399.262,87633.0,366166.0,3584.419,42452.0,177381.0,0.0,0.0,0.0,4695.137,55607.0,232347.0
2013-01-01,12401.651,146879.0,630179.0,4977.988,58957.0,252952.0,0.0,0.0,0.0,6535.672,77405.0,332104.0
2013-02-01,7615.282,90192.0,492623.0,2600.272,30796.0,168208.0,0.0,0.0,0.0,4540.416,53775.0,293714.0
2013-03-01,12375.955,146575.0,658704.0,3426.07,40577.0,182351.0,0.0,0.0,0.0,7039.671,83374.0,374683.0
2013-04-01,11863.302,140503.0,629799.0,3435.315,40686.0,182374.0,0.0,0.0,0.0,6074.78,71947.0,322498.0
2013-05-01,14990.292,177538.0,636570.0,151.516,1794.0,6434.0,0.0,0.0,0.0,8146.427,96482.0,345942.0
2013-06-01,14403.61,170589.0,559285.0,176.569,2091.0,6856.0,0.0,0.0,0.0,8302.81,98335.0,322394.0
2013-07-01,13939.334,165091.0,588450.0,164.267,1945.0,6935.0,0.0,0.0,0.0,7655.837,90672.0,323192.0
2013-08-01,14160.283,167708.0,646237.0,120.639,1429.0,5506.0,0.0,0.0,0.0,7889.524,93440.0,360056.0
2013-09-01,8909.4,105519.0,369920.0,95.634,1133.0,3971.0,0.0,0.0,0.0,8321.659,98558.0,345517.0
2013-10-01,13993.18,165729.0,561368.0,158.218,1874.0,6347.0,0.0,0.0,0.0,8871.795,105073.0,355912.0
2013-11-01,14576.799,172641.0,537900.0,318.651,3774.0,11759.0,0.0,0.0,0.0,4316.312,51120.0,159277.0
2013-12-01,15043.562,178169.0,646541.0,164.927,1953.0,7088.0,0.0,0.0,0.0,8620.395,102096.0,370486.0
2014-01-01,17213.303,203866.0,576536.0,6607.899,78261.0,221323.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,15269.13,180840.0,552656.0,5204.1,61635.0,188359.0,0.0,0.0,0.0,589.03,6976.0,21320.0
2014-03-01,11728.5,138907.0,604508.0,5451.47,64565.0,280978.0,0.0,0.0,0.0,4491.12,53191.0,231480.0
2014-04-01,9884.04,117062.0,443266.0,3643.271,43149.0,163388.0,0.0,0.0,0.0,1621.422,19203.0,72715.0
2014-05-01,13375.763,158416.0,604323.0,5667.374,67122.0,256055.0,0.0,0.0,0.0,2491.591,29509.0,112571.0
2014-06-01,12925.644,153085.0,590435.0,3860.584,45723.0,176349.0,0.0,0.0,0.0,3614.385,42807.0,165103.0
2014-07-01,13518.572,160107.0,630461.0,3560.801,42172.0,166064.0,0.0,0.0,0.0,3372.136,39938.0,157265.0
2014-08-01,14336.444,169794.0,676997.0,3521.259,41704.0,166281.0,0.0,0.0,0.0,3104.686,36770.0,146610.0
2014-09-01,14246.729,168731.0,629300.0,3904.393,46242.0,172463.0,0.0,0.0,0.0,2915.939,34535.0,128802.0
2014-10-01,13880.899,164399.0,654418.0,3984.14,47186.0,187833.0,0.0,0.0,0.0,4047.086,47932.0,190801.0
2014-11-01,14093.59,166918.0,648678.0,4621.016,54729.0,212689.0,0.0,0.0,0.0,3984.965,47196.0,183414.0
2014-12-01,8575.835,101568.0,419993.0,3912.072,46333.0,191590.0,0.0,0.0,0.0,4110.879,48687.0,201326.0
2015-01-01,-15012.62,165142.0,651553.0,-5951.97,65473.0,258318.0,-176.266,1939.0,7650.0,-4006.144,44068.0,173868.0
2015-02-01,-13554.31,141784.0,594699.0,-4872.995,50974.0,213804.0,-198.973,2081.0,8730.0,-4396.722,45992.0,192908.0
2015-03-01,-14689.34,160315.0,653235.0,-4435.623,48409.0,197252.0,-201.709,2201.0,8970.0,-4229.329,46158.0,188078.0
2015-04-01,-12281.22,73878.0,327703.0,-8017.009,48227.0,213920.0,-202.374,1217.0,5400.0,-3603.398,21676.0,96150.0
2015-05-01,-24366.13,0.0,378676.0,-10378.01,0.0,161285.0,-38.607,0.0,600.0,-3106.256,0.0,48275.0
2015-06-01,-12729.75,81760.0,588070.0,-3892.398,25000.0,179815.0,-172.091,1105.0,7950.0,-1276.763,8200.0,58982.0
2015-07-01,-16367.08,147521.0,589307.0,-6341.727,57160.0,228338.0,-247.461,2230.0,8910.0,-1890.728,17042.0,68077.0
2015-08-01,-12613.89,163043.0,669000.0,-3653.486,47224.0,193769.0,-177.613,2296.0,9420.0,-1688.007,21819.0,89526.0
2015-09-01,-14632.26,155851.0,639966.0,-5719.815,60923.0,250165.0,-141.3,1505.0,6180.0,-2531.622,26965.0,110725.0
2015-10-01,-12262.32,125085.0,324458.0,-7399.751,75483.0,195796.0,-363.949,3713.0,9630.0,-4376.977,44648.0,115814.0
2015-11-01,-15364.3,181825.0,640139.0,-4636.985,54875.0,193196.0,-221.054,2616.0,9210.0,-2675.66,31664.0,111479.0
2015-12-01,-13252.12,149954.0,540992.0,-6572.312,74369.0,268302.0,-223.403,2528.0,9120.0,-2353.17,26627.0,96064.0
2016-01-01,13871.362,83033.0,612007.0,6312.984,37789.0,278530.0,233.544,1398.0,10304.0,2614.11,15648.0,115335.0
2016-02-01,11431.551,68429.0,539935.0,4802.994,28751.0,226855.0,191.734,1148.0,9056.0,2892.721,17316.0,136629.0
2016-03-01,8949.656,53572.0,458766.0,3884.143,23250.0,199104.0,165.429,990.0,8480.0,3116.772,18657.0,159768.0
2016-04-01,7777.609,46556.0,332211.0,5631.557,33710.0,240545.0,146.838,879.0,6272.0,2105.996,12606.0,89955.0
2016-05-01,14268.365,85410.0,624657.0,3801.352,22755.0,166420.0,197.354,1181.0,8640.0,3852.929,23063.0,168678.0
2016-06-01,12555.837,75159.0,494846.0,3298.088,19742.0,129983.0,242.771,1453.0,9568.0,3666.304,21946.0,144495.0
2016-07-01,14292.985,85557.0,655237.0,4604.996,27565.0,211108.0,154.265,923.0,7072.0,2211.754,13239.0,101394.0
2016-08-01,12654.897,75752.0,678238.0,4953.475,29651.0,265481.0,163.598,979.0,8768.0,3492.03,20903.0,187155.0
2016-09-01,14956.646,89530.0,648802.0,4056.47,24282.0,175965.0,196.962,1179.0,8544.0,2695.922,16138.0,116946.0
2016-10-01,14425.717,86352.0,582912.0,5270.018,31546.0,212950.0,191.646,1147.0,7744.0,2322.619,13903.0,93852.0
2016-11-01,16221.11,97099.0,648989.0,3891.308,23293.0,155687.0,253.543,1518.0,10144.0,3192.039,19107.0,127710.0
2016-12-01,11917.33,71337.0,476861.0,5722.485,34255.0,228980.0,236.717,1417.0,9472.0,5345.468,31998.0,213894.0
2017-01-01,15791.94,94530.0,681725.0,4298.253,25729.0,185552.0,240.913,1442.0,10400.0,3821.894,22878.0,164988.0
2017-02-01,13312.378,79687.0,573265.0,4585.306,27447.0,197455.0,180.575,1081.0,7776.0,2943.741,17621.0,126765.0
2017-03-01,16403.953,98193.0,730906.0,3556.3,21288.0,158457.0,237.001,1419.0,10560.0,4440.746,26582.0,197865.0
2017-04-01,11467.732,68645.0,571813.0,4675.732,27989.0,233145.0,164.933,987.0,8224.0,3229.603,19332.0,161037.0
2017-05-01,14093.429,84363.0,621632.0,4030.046,24124.0,177757.0,121.157,725.0,5344.0,3287.368,19678.0,144999.0
2017-06-01,14385.302,86110.0,655820.0,5385.615,32238.0,245528.0,195.132,1168.0,8896.0,2552.951,15282.0,116388.0
2017-07-01,13589.237,81345.0,659318.0,5912.672,35393.0,286869.0,138.506,829.0,6720.0,1591.585,9527.0,77220.0
2017-08-01,14060.641,84167.0,628969.0,5401.363,32332.0,241617.0,140.211,839.0,6272.0,2117.785,12677.0,94734.0
2017-09-01,10384.104,62159.0,513766.0,4882.206,29225.0,241553.0,23.931,143.0,1184.0,1767.759,10582.0,87462.0
2017-10-01,15515.59,92876.0,708048.0,5563.693,33304.0,253897.0,220.885,1322.0,10080.0,2578.832,15437.0,117684.0
2017-11-01,14190.516,84944.0,676148.0,5627.7,33687.0,268148.0,203.493,1218.0,9696.0,2425.291,14518.0,115560.0
2017-12-01,14696.783,87974.0,654962.0,7636.308,45711.0,340312.0,89.038,533.0,3968.0,2303.871,13791.0,102672.0
2018-01-01,9234.925,55280.0,499631.0,5447.251,32607.0,294709.0,123.618,740.0,6688.0,2969.206,17774.0,160641.0
2018-02-01,7049.378,42197.0,317416.0,4713.561,28215.0,212240.0,54.011,323.0,2432.0,2207.05,13211.0,99378.0
2018-03-01,15548.325,93072.0,707102.0,6709.861,40165.0,305149.0,118.915,712.0,5408.0,2797.899,16748.0,127242.0
2018-04-01,15939.908,95416.0,717651.0,6114.573,36602.0,275292.0,238.104,1425.0,10720.0,1989.415,11909.0,89568.0
2018-05-01,15887.303,95101.0,703989.0,5570.414,33344.0,246833.0,208.705,1249.0,9248.0,2037.578,12197.0,90288.0
2018-06-01,15918.617,95288.0,739805.0,4857.684,29078.0,225757.0,150.793,903.0,7008.0,2737.906,16389.0,127242.0
2018-07-01,16113.429,96454.0,763697.0,5853.142,35037.0,277410.0,107.353,643.0,5088.0,1697.076,10159.0,80433.0
2018-08-01,16019.911,95895.0,730180.0,5748.897,34413.0,262032.0,208.515,1248.0,9504.0,1888.677,11306.0,86085.0
2018-09-01,16468.981,98583.0,704638.0,6032.309,36109.0,258097.0,209.415,1254.0,8960.0,1912.295,11447.0,81819.0
2018-10-01,15961.662,95546.0,710094.0,6252.434,37427.0,278155.0,136.668,818.0,6080.0,1917.236,11477.0,85293.0
2018-11-01,15730.449,94162.0,722370.0,6534.353,39114.0,300069.0,78.046,467.0,3584.0,1789.152,10710.0,82161.0
2018-12-01,15536.295,93000.0,744557.0,6829.374,40880.0,327289.0,224.357,1343.0,10752.0,2342.974,14025.0,112284.0
2019-01-01,14230.031,85180.0,706442.0,6680.364,39988.0,331643.0,165.658,992.0,8224.0,2447.947,14653.0,121527.0
2019-02-01,10669.549,63868.0,517451.0,5306.309,31763.0,257345.0,177.492,1062.0,8608.0,2654.65,15891.0,128745.0
2019-03-01,13201.927,79026.0,648593.0,4730.029,28314.0,232380.0,239.046,1431.0,11744.0,2798.998,16755.0,137511.0
2019-04-01,15200.877,90992.0,693561.0,5867.965,35125.0,267734.0,91.175,546.0,4160.0,2371.983,14199.0,108225.0
2019-05-01,14876.168,89048.0,692824.0,5856.193,35055.0,272739.0,136.045,814.0,6336.0,2981.594,17848.0,138861.0
2019-06-01,15307.096,91628.0,702185.0,4940.797,29575.0,226650.0,43.25,259.0,1984.0,1934.857,11582.0,88758.0
2019-07-01,2403.12,14385.0,200816.0,2215.564,13262.0,185143.0,0.0,0.0,0.0,867.316,5192.0,72477.0
2019-08-01,14623.537,87536.0,655556.0,6051.463,36224.0,271280.0,0.0,0.0,0.0,2629.0,15737.0,117855.0
2019-09-01,15595.839,93356.0,699996.0,5961.476,35685.0,267572.0,0.0,0.0,0.0,2350.685,14071.0,105507.0
2019-10-01,15773.099,94417.0,712129.0,6205.944,37149.0,280188.0,175.776,1052.0,7936.0,2008.181,12021.0,90666.0
2019-11-01,14072.24,84236.0,668888.0,6428.408,38480.0,305558.0,225.53,1350.0,10720.0,2817.822,16867.0,133938.0
2019-12-01,11995.308,71803.0,599082.0,5119.633,30646.0,255690.0,340.868,2040.0,17024.0,2274.191,13613.0,113580.0
2020-01-01,15637.509,93606.0,741598.0,6173.27,36953.0,292763.0,200.404,1200.0,9504.0,2850.817,17065.0,135198.0
2020-02-01,14318.81,85712.0,650815.0,6059.987,36275.0,275437.0,205.581,1231.0,9344.0,2627.622,15729.0,119430.0
2020-03-01,15755.884,94314.0,707333.0,6059.261,36271.0,272020.0,223.107,1336.0,10016.0,2844.748,17029.0,127710.0
2020-04-01,14812.022,88664.0,684530.0,5420.746,32448.0,250517.0,216.036,1293.0,9984.0,2438.196,14595.0,112680.0
2020-05-01,14454.56,86524.0,694276.0,5422.656,32460.0,260459.0,181.214,1085.0,8704.0,2360.57,14130.0,113382.0
2020-06-01,14665.782,87789.0,687104.0,5258.413,31477.0,246361.0,196.026,1173.0,9184.0,3107.779,18603.0,145602.0
2020-07-01,15913.518,95258.0,724130.0,4749.903,28433.0,216140.0,213.08,1275.0,9696.0,2026.499,12131.0,92214.0
2020-08-01,12356.497,73966.0,545567.0,5182.002,31019.0,228797.0,181.191,1085.0,8000.0,2012.31,12046.0,88848.0
2020-09-01,15680.564,93863.0,687258.0,6132.176,36707.0,268765.0,201.512,1206.0,8832.0,2164.748,12958.0,94878.0
