measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-01-01,0.0,0.0,0.0,870.909,7373.0,7373.0,141.663,1262.0,1262.0
2019-02-01,0.0,0.0,0.0,807.517,6837.0,6837.0,165.295,1472.0,1472.0
2019-03-01,0.0,0.0,0.0,704.194,5962.0,5962.0,251.086,2236.0,2236.0
2019-04-01,0.0,0.0,0.0,494.131,4184.0,4184.0,292.03,2601.0,2601.0
2019-05-01,0.0,0.0,0.0,425.8,3605.0,3605.0,304.05,2708.0,2708.0
2019-06-01,0.0,0.0,0.0,569.37,4820.0,4820.0,367.579,3273.0,3273.0
2019-07-01,0.0,0.0,0.0,897.558,7599.0,7599.0,362.754,3230.0,3230.0
2019-08-01,0.0,0.0,0.0,1054.289,8926.0,8926.0,355.274,3164.0,3164.0
2019-09-01,0.0,0.0,0.0,927.696,7854.0,7854.0,290.54,2587.0,2587.0
2019-10-01,0.0,0.0,0.0,950.161,8044.0,8044.0,266.958,2377.0,2377.0
2019-11-01,0.0,0.0,0.0,931.86,7889.0,7889.0,170.729,1520.0,1520.0
2019-12-01,0.0,0.0,0.0,966.515,8183.0,8183.0,110.042,980.0,980.0
2020-01-01,0.0,0.0,0.0,699.212,5538.0,5538.0,134.044,1175.0,1175.0
2020-02-01,0.0,0.0,0.0,617.471,4890.0,4890.0,181.703,1593.0,1593.0
2020-03-01,0.0,0.0,0.0,685.434,5429.0,5429.0,177.808,1559.0,1559.0
2020-04-01,0.0,0.0,0.0,484.739,3839.0,3839.0,224.088,1965.0,1965.0
2020-05-01,0.0,0.0,0.0,455.786,3610.0,3610.0,293.275,2571.0,2571.0
2020-06-01,0.0,0.0,0.0,641.159,5078.0,5078.0,292.043,2560.0,2560.0
2020-07-01,0.0,0.0,0.0,896.913,7103.0,7103.0,329.867,2892.0,2892.0
2020-08-01,0.0,0.0,0.0,1115.374,8834.0,8834.0,273.286,2396.0,2396.0
2020-09-01,0.0,0.0,0.0,971.317,7693.0,7693.0,214.583,1881.0,1881.0
2020-10-01,0.0,0.0,0.0,1008.737,7989.0,7989.0,198.345,1739.0,1739.0
2020-11-01,0.0,0.0,0.0,805.743,6382.0,6382.0,156.807,1375.0,1375.0
2020-12-01,0.0,0.0,0.0,893.115,7074.0,7074.0,124.151,1088.0,1088.0
2021-01-01,0.0,0.0,0.0,715.376,5084.0,5084.0,118.264,1046.0,1046.0
2021-02-01,0.0,0.0,0.0,606.662,4311.0,4311.0,154.922,1370.0,1370.0
2021-03-01,0.0,0.0,0.0,652.279,4636.0,4636.0,200.031,1769.0,1769.0
2021-04-01,0.0,0.0,0.0,578.789,4114.0,4114.0,250.387,2214.0,2214.0
2021-05-01,0.0,0.0,0.0,604.909,4299.0,4299.0,272.917,2414.0,2414.0
2021-06-01,0.0,0.0,0.0,827.178,5878.0,5878.0,265.109,2345.0,2345.0
2021-07-01,0.0,0.0,0.0,1141.49,8112.0,8112.0,253.924,2246.0,2246.0
2021-08-01,0.0,0.0,0.0,1042.219,7407.0,7407.0,249.76,2209.0,2209.0
2021-09-01,0.0,0.0,0.0,886.806,6302.0,6302.0,215.358,1905.0,1905.0
2021-10-01,0.0,0.0,0.0,845.398,6008.0,6008.0,179.248,1585.0,1585.0
2021-11-01,0.0,0.0,0.0,776.963,5522.0,5522.0,142.626,1261.0,1261.0
2021-12-01,0.0,0.0,0.0,801.931,5699.0,5699.0,97.454,862.0,862.0
2022-01-01,0.0,0.0,0.0,831.132,5100.0,5100.0,129.689,442.0,442.0
2022-02-01,0.0,0.0,0.0,690.062,4234.0,4234.0,154.693,528.0,528.0
2022-03-01,0.0,0.0,0.0,638.49,3918.0,3918.0,205.091,700.0,700.0
2022-04-01,0.0,0.0,0.0,654.028,4013.0,4013.0,231.349,789.0,789.0
2022-05-01,0.0,0.0,0.0,600.181,3682.0,3682.0,271.148,925.0,925.0
2022-06-01,0.0,0.0,0.0,816.287,5008.0,5008.0,282.333,963.0,963.0
2022-07-01,0.0,0.0,0.0,1090.477,6690.0,6690.0,272.306,929.0,929.0
2022-08-01,0.0,0.0,0.0,1315.806,8073.0,8073.0,252.834,863.0,863.0
2022-09-01,0.0,0.0,0.0,1205.932,7399.0,7399.0,213.371,728.0,728.0
2022-10-01,0.0,0.0,0.0,1107.464,6794.0,6794.0,196.577,671.0,671.0
2022-11-01,0.0,0.0,0.0,1017.015,6240.0,6240.0,145.728,497.0,497.0
2022-12-01,0.0,0.0,0.0,1124.126,6897.0,6897.0,101.881,348.0,348.0
2023-01-01,0.0,0.0,0.0,978.0,6622.0,6622.0,115.0,392.0,392.0
2023-02-01,0.0,0.0,0.0,884.0,6020.0,6020.0,144.0,491.0,491.0
2023-03-01,0.0,0.0,0.0,977.0,6679.0,6679.0,198.0,676.0,676.0
2023-04-01,0.0,0.0,0.0,943.0,6494.0,6494.0,245.0,836.0,836.0
2023-05-01,0.0,0.0,0.0,968.0,6705.0,6705.0,282.0,962.0,962.0
2023-06-01,0.0,0.0,0.0,929.0,6766.0,6766.0,286.0,976.0,976.0
2023-07-01,0.0,0.0,0.0,955.0,7324.0,7324.0,297.0,1013.0,1013.0
2023-08-01,0.0,0.0,0.0,893.0,7053.0,7053.0,268.0,914.0,914.0
2023-09-01,0.0,0.0,0.0,838.0,6318.0,6318.0,230.0,785.0,785.0
2023-10-01,0.0,0.0,0.0,937.0,7226.0,7226.0,189.0,645.0,645.0
2023-11-01,0.0,0.0,0.0,841.0,5918.0,5918.0,129.0,440.0,440.0
2023-12-01,0.0,0.0,0.0,435.0,3350.0,3350.0,108.0,368.0,368.0
