measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,3881.902,29648.0,29648.0
2001-02-01,3854.518,29439.0,29439.0
2001-03-01,4005.41,30592.0,30592.0
2001-04-01,3827.1270000000004,29230.0,29230.0
2001-05-01,3321.574,25369.0,25369.0
2001-06-01,4328.002,33055.0,33055.0
2001-07-01,5122.354,39122.0,39122.0
2001-08-01,5827.74,44510.0,44510.0
2001-09-01,4454.093,34019.0,34019.0
2001-10-01,3531.777,26974.0,26974.0
2001-11-01,3671.969,28045.0,28045.0
2001-12-01,3875.534,29600.0,29600.0
2002-01-01,2159.7760000000003,-20647.0,150419.0
2002-02-01,2304.2380000000003,-22028.0,160481.0
2002-03-01,2454.1530000000002,-23461.0,170921.0
2002-04-01,2709.951,-25906.0,188737.0
2002-05-01,2168.89,-20734.0,151054.0
2002-06-01,2728.1690000000003,-26080.0,190006.0
2002-07-01,3473.6440000000002,-33207.0,241925.0
2002-08-01,3181.6310000000003,-30415.0,221587.0
2002-09-01,2729.827,-26096.0,190121.0
2002-10-01,2016.366,-19276.0,140431.0
2002-11-01,1981.7520000000002,-18945.0,138021.0
2002-12-01,2318.603,-22165.0,161481.0
2003-01-01,2192.808,8781.0,194002.0
2003-02-01,1945.7740000000001,7792.0,172146.0
2003-03-01,1923.231,7702.0,170152.0
2003-04-01,1838.3780000000002,7362.0,162645.0
2003-05-01,1880.535,7531.0,166374.0
2003-06-01,1899.682,7607.0,168068.0
2003-07-01,2154.48,8628.0,190611.0
2003-08-01,2261.88,9058.0,200113.0
2003-09-01,1920.615,7691.0,169920.0
2003-10-01,1725.375,6909.0,152647.0
2003-11-01,1868.575,7483.0,165316.0
2003-12-01,2068.308,8282.0,182987.0
2004-01-01,1988.545,23315.86,122768.2
2004-02-01,1613.871,18922.78,99636.7
2004-03-01,1212.8870000000002,14221.2,74880.84
2004-04-01,1799.401,21098.14,111090.9
2004-05-01,1665.731,19530.85,102838.42
2004-06-01,1469.931,17235.06,90750.14
2004-07-01,1478.861,17339.77,91301.48
2004-08-01,1238.704,14523.92,76474.76
2004-09-01,1333.586,15636.41,82332.53
2004-10-01,1287.0610000000001,15090.9,79460.16
2004-11-01,2611.34,30618.2,161218.16
2004-12-01,1659.3410000000001,19455.92,102443.93
2005-01-01,460.60200000000003,5400.59,82611.9
2005-02-01,408.335,4787.76,73237.6
2005-03-01,487.27700000000004,5713.36,87396.22
2005-04-01,499.57800000000003,5857.6,89602.57
2005-05-01,405.27700000000004,4751.92,72689.13
2005-06-01,689.4970000000001,8084.4,123665.68
2005-07-01,888.513,10417.89,159360.65
2005-08-01,949.9540000000001,11138.29,170380.37
2005-09-01,628.403,7368.08,112708.18
2005-10-01,434.574,5095.41,77943.58
2005-11-01,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
