measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,3283.416,30841.0,52917.0
2001-02-01,2859.098,26855.0,46079.0
2001-03-01,3078.4,28915.0,49613.0
2001-04-01,3028.309,28444.0,48806.0
2001-05-01,3174.368,29816.0,51160.0
2001-06-01,3125.455,29357.0,50371.0
2001-07-01,3586.2650000000003,33685.0,57798.0
2001-08-01,3710.501,34852.0,59800.0
2001-09-01,3087.981,29005.0,49767.0
2001-10-01,2917.666,27405.0,47022.0
2001-11-01,2401.7780000000002,22560.0,38708.0
2001-12-01,2588.763,24316.0,41722.0
2002-01-01,3118.2450000000003,31565.0,41726.0
2002-02-01,2720.094,27535.0,36398.0
2002-03-01,3455.779,34982.0,46242.0
2002-04-01,2787.0910000000003,28213.0,37294.0
2002-05-01,2889.828,29253.0,38669.0
2002-06-01,3751.3610000000003,37974.0,50197.0
2002-07-01,4529.404,45850.0,60609.0
2002-08-01,4312.203,43652.0,57702.0
2002-09-01,3887.5530000000003,39353.0,52020.0
2002-10-01,3295.2830000000004,33358.0,44095.0
2002-11-01,3035.387,30727.0,40617.0
2002-12-01,3328.77,33697.0,44543.0
2003-01-01,2650.1980000000003,24572.0,40707.0
2003-02-01,2445.1910000000003,22671.0,37558.0
2003-03-01,2695.5280000000002,24992.0,41403.0
2003-04-01,2549.1220000000003,23635.0,39155.0
2003-05-01,2918.701,27061.0,44831.0
2003-06-01,3040.9950000000003,28195.0,46710.0
2003-07-01,3904.362,36200.0,59971.0
2003-08-01,3668.011,34009.0,56341.0
2003-09-01,3351.867,31078.0,51485.0
2003-10-01,3154.402,29247.0,48452.0
2003-11-01,2670.201,24757.0,41014.0
2003-12-01,2835.101,26286.0,43547.0
2004-01-01,2789.6980000000003,17861.87,41637.5
2004-02-01,2523.373,16156.64,37662.47
2004-03-01,2501.607,16017.28,37337.61
2004-04-01,2363.1020000000003,15130.46,35270.36
2004-05-01,2597.063,16628.47,38762.34
2004-06-01,2366.502,15152.22,35321.09
2004-07-01,2662.583,17047.97,39740.24
2004-08-01,2656.284,17007.64,39646.23
2004-09-01,2587.232,16565.51,38615.59
2004-10-01,2338.9,14975.5,34909.13
2004-11-01,2528.4790000000003,16189.33,37738.67
2004-12-01,2576.898,16499.35,38461.35
2005-01-01,2861.081,18318.92,32020.76
2005-02-01,2582.424,16534.73,28902.08
2005-03-01,2786.9590000000003,17844.33,31191.19
2005-04-01,2800.344,17930.03,31341.0
2005-05-01,3075.634,19692.65,34422.0
2005-06-01,3950.4730000000004,25294.07,44213.06
2005-07-01,5058.654,32389.52,56615.64
2005-08-01,5242.376,33565.86,58671.82
2005-09-01,3953.871,25315.82,44251.08
2005-10-01,3068.9680000000003,19649.97,34347.39
2005-11-01,2738.252,17532.46,30646.07
2005-12-01,3124.2650000000003,20004.02,34966.27
2006-01-01,3123.025,19996.09,33947.83
2006-02-01,2753.492,17630.05,29930.94
2006-03-01,3049.8650000000002,19527.66,33152.57
2006-04-01,2905.917,18605.99,31587.82
2006-05-01,3387.0860000000002,21686.82,36818.22
2006-06-01,3590.148,22986.98,39025.53
2006-07-01,4042.3480000000004,25882.33,43941.03
2006-08-01,4175.992,26738.02,45393.75
2006-09-01,3400.2450000000003,21771.07,36961.25
2006-10-01,3564.434,22822.34,38746.01
2006-11-01,3010.935,19278.4,32729.39
2006-12-01,3376.434,21618.62,36702.43
2007-01-01,1913.372,16533.0,26846.0
2007-02-01,1740.424,15039.0,24420.0
2007-03-01,1609.935,13912.0,22589.0
2007-04-01,1602.485,13848.0,22485.0
2007-05-01,1787.441,15446.0,25080.0
2007-06-01,2113.357,18262.0,29652.0
2007-07-01,2878.853,24877.0,40393.0
2007-08-01,3191.501,27578.0,44780.0
2007-09-01,2514.9680000000003,21732.0,35288.0
2007-10-01,2383.445,20596.0,33443.0
2007-11-01,2266.052,19581.0,31795.0
2007-12-01,2525.168,21820.0,35431.0
