measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2022-03-01,750.022,2559.0,2559.0
2022-04-01,898.387,3065.0,3065.0
2022-05-01,1104.132,3767.0,3767.0
2022-06-01,1060.214,3617.0,3617.0
2022-07-01,1164.144,3972.0,3972.0
2022-08-01,1012.648,3455.0,3455.0
2022-09-01,825.568,2817.0,2817.0
2022-10-01,706.53,2411.0,2411.0
2022-11-01,512.596,1749.0,1749.0
2022-12-01,332.759,1135.0,1135.0
2023-01-01,280.0,955.0,955.0
2023-02-01,541.0,1846.0,1846.0
2023-03-01,831.0,2835.0,2835.0
2023-04-01,902.0,3078.0,3078.0
2023-05-01,1364.0,4654.0,4654.0
2023-06-01,870.0,2968.0,2968.0
2023-07-01,1063.0,3627.0,3627.0
2023-08-01,1046.0,3569.0,3569.0
2023-09-01,833.0,2842.0,2842.0
2023-10-01,551.0,1880.0,1880.0
2023-11-01,442.0,1508.0,1508.0
2023-12-01,260.0,887.0,887.0
2024-01-01,350.0,1194.0,1194.0
2024-02-01,697.0,2378.0,2378.0
2024-03-01,773.0,2637.0,2637.0
2024-04-01,830.0,2832.0,2832.0
2024-05-01,1037.0,3538.0,3538.0
2024-06-01,1151.0,3927.0,3927.0
2024-07-01,1244.0,4245.0,4245.0
2024-08-01,1044.0,3562.0,3562.0
2024-09-01,1051.0,3586.0,3586.0
2024-10-01,777.0,2651.0,2651.0
2024-11-01,522.0,1781.0,1781.0
2024-12-01,379.0,1293.0,1293.0
