measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2008-01-01,0.7110000000000001,11.0,11.0,23296.289,366930.0,366930.0
2008-02-01,4.977,78.0,78.0,22283.023,351036.0,351036.0
2008-03-01,0.0,0.0,0.0,23791.0,357179.0,357179.0
2008-04-01,4.458,67.0,67.0,22873.542,344777.0,344777.0
2008-05-01,4.638,67.0,67.0,1748.362,25330.0,25330.0
2008-06-01,90.28800000000001,1238.0,1238.0,11392.712,156162.0,156162.0
2008-07-01,0.0,0.0,0.0,24380.0,351072.0,351072.0
2008-08-01,17.334,258.0,258.0,23040.666,342405.0,342405.0
2008-09-01,9.444,140.0,140.0,22322.556,330930.0,330930.0
2008-10-01,50.79,756.0,756.0,21736.21,323541.0,323541.0
2008-11-01,52.484,806.0,806.0,12468.516,191574.0,191574.0
2008-12-01,29.286,521.0,521.0,23698.714,421443.0,421443.0
2011-01-01,0.0,0.0,0.0,21791.0,287640.0,287640.0
2011-02-01,0.0,0.0,0.0,15908.0,237654.0,237654.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,2913.0,32111.0,32111.0
2014-11-01,0.0,0.0,0.0,17495.0,236914.0,236914.0
2014-12-01,0.0,0.0,0.0,22477.0,253126.0,253126.0
2015-01-01,0.0,0.0,0.0,26009.0,410459.0,410459.0
2015-02-01,0.0,0.0,0.0,22732.0,388020.0,388020.0
2015-03-01,0.0,0.0,0.0,26675.0,354880.0,354880.0
2015-04-01,0.0,0.0,0.0,15116.0,248784.0,248784.0
2015-05-01,0.0,0.0,0.0,5012.0,73664.0,73664.0
2015-06-01,0.0,0.0,0.0,22463.0,317224.0,317224.0
2015-07-01,0.0,0.0,0.0,25231.0,341587.0,341587.0
2015-08-01,0.0,0.0,0.0,24537.0,313784.0,313784.0
2015-09-01,0.0,0.0,0.0,25772.0,314024.0,314024.0
2015-10-01,0.0,0.0,0.0,22819.0,296470.0,296470.0
2015-11-01,0.0,0.0,0.0,27315.0,348847.0,348847.0
2015-12-01,0.0,0.0,0.0,23422.0,321672.0,321672.0
2016-01-01,0.0,0.0,0.0,19901.0,278343.0,278343.0
2016-02-01,0.0,0.0,0.0,24819.0,379228.0,379228.0
2016-03-01,0.0,0.0,0.0,20611.0,329605.0,329605.0
2016-04-01,0.0,0.0,0.0,10155.0,139729.0,139729.0
2016-05-01,0.0,0.0,0.0,24674.0,335720.0,335720.0
2016-06-01,0.0,0.0,0.0,25071.0,378100.0,378100.0
2016-07-01,0.0,0.0,0.0,28553.0,383370.0,383370.0
2016-08-01,0.0,0.0,0.0,24211.0,319839.0,319839.0
2016-09-01,0.0,0.0,0.0,19083.0,270683.0,270683.0
2016-10-01,0.0,0.0,0.0,16206.0,207441.0,207441.0
2016-11-01,0.0,0.0,0.0,11273.0,165728.0,165728.0
2016-12-01,0.0,0.0,0.0,27963.0,402901.0,402901.0
2017-01-01,0.0,0.0,0.0,27393.0,425432.0,425432.0
2017-02-01,0.0,0.0,0.0,21663.0,302280.0,302280.0
2017-03-01,0.0,0.0,0.0,19930.0,264296.0,264296.0
2017-04-01,0.0,0.0,0.0,10410.0,155912.0,155912.0
2017-05-01,0.0,0.0,0.0,16999.0,252720.0,252720.0
2017-06-01,0.0,0.0,0.0,22650.0,311048.0,311048.0
2017-07-01,0.0,0.0,0.0,26446.0,327984.0,327984.0
2017-08-01,0.0,0.0,0.0,27804.0,336888.0,336888.0
2017-09-01,0.0,0.0,0.0,25313.0,303192.0,303192.0
