measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed
2008-01-01,53367.0,483764.0,962676.0
2008-02-01,50247.0,457420.0,907169.0
2008-03-01,44880.0,414121.0,854701.0
2008-04-01,28681.0,269381.0,592956.0
2008-05-01,44590.0,416374.0,847593.0
2008-06-01,58223.0,529071.0,920475.0
2008-07-01,63725.0,579750.0,1027185.0
2008-08-01,58863.0,539200.0,974900.0
2008-09-01,53422.0,490514.0,896861.0
2008-10-01,37052.0,346211.0,761824.0
2008-11-01,42452.0,392367.0,818945.0
2008-12-01,32402.0,303055.0,747791.0
2010-01-01,37723.0,344950.0,789003.0
2010-02-01,29638.0,274181.0,673576.0
2010-03-01,4092.0,38204.0,366813.0
2010-04-01,3932.0,36389.0,337945.0
2010-05-01,13294.0,125062.0,419210.0
2010-06-01,34633.0,319926.0,669437.0
2010-07-01,39863.0,368864.0,749544.0
2010-08-01,32349.0,300231.0,674697.0
2010-09-01,18410.0,169857.0,504302.0
2010-10-01,6688.0,62363.0,360897.0
2010-11-01,8257.0,76434.0,458290.0
2010-12-01,32492.0,294759.0,795953.0
2011-01-01,19234.0,177430.0,678497.0
2011-02-01,4526.0,41617.0,466064.0
2011-03-01,3069.0,28344.0,488489.0
2011-04-01,8844.0,82579.0,512404.0
2011-05-01,8965.0,84521.0,467911.0
2011-06-01,17662.0,170605.0,575719.0
2011-07-01,23661.0,216828.0,684385.0
2011-08-01,12684.0,116480.0,536480.0
2011-09-01,2917.0,27529.0,404715.0
2011-10-01,2721.0,25335.0,418388.0
2011-11-01,2916.0,27159.0,396443.0
2011-12-01,3496.0,32732.0,432795.0
2012-01-01,3333.0,31757.0,452620.0
2012-02-01,2824.0,26462.0,395211.0
2012-03-01,2564.0,23805.0,355514.0
2012-04-01,2235.0,22015.0,380066.0
2012-05-01,1920.0,19048.0,301673.0
2012-06-01,2825.0,26520.0,277961.0
2012-07-01,7359.0,66936.0,351317.0
2012-08-01,3246.0,29051.0,328830.0
2012-09-01,2400.0,21822.0,266520.0
2012-10-01,1994.0,18905.0,276726.0
2012-11-01,2585.0,25604.0,357764.0
2012-12-01,2271.0,23419.0,325240.0
2013-01-01,5940.0,55050.0,428606.0
2013-02-01,2691.0,24923.0,316272.0
2013-03-01,7736.0,72601.0,445088.0
2013-04-01,3033.0,28462.0,331848.0
2013-05-01,4308.0,40550.0,323731.0
2013-06-01,2116.0,19981.0,296409.0
2013-07-01,7552.0,71096.0,415759.0
2013-08-01,2321.0,21662.0,310525.0
2013-09-01,2949.0,27588.0,302793.0
2013-10-01,2702.0,25957.0,295903.0
2013-11-01,2257.0,20838.0,335025.0
2013-12-01,3755.0,35010.0,400177.0
2014-01-01,23972.0,221199.0,507754.0
2014-02-01,22448.0,208464.0,477565.0
2014-03-01,21295.0,196562.0,433453.0
2014-04-01,4401.0,43618.0,90361.0
2014-05-01,7157.0,67188.0,144915.0
2014-06-01,3047.0,29479.0,71880.0
2014-07-01,3105.0,29563.0,68430.0
2014-08-01,2529.0,23721.0,51259.0
2014-09-01,2293.0,21763.0,53180.0
2014-10-01,2916.0,27638.0,59979.0
2014-11-01,2615.0,24570.0,58728.0
2014-12-01,2845.0,26201.0,52860.0
2015-01-01,7455.0,69407.0,476763.0
2015-02-01,20534.0,190384.0,669153.0
2015-03-01,7895.0,73290.0,492236.0
2015-04-01,2860.0,26680.0,336800.0
2015-05-01,8171.0,76964.0,418815.0
2015-06-01,3605.0,34556.0,340570.0
2015-07-01,4649.0,44248.0,322823.0
2015-08-01,2409.0,22351.0,282326.0
2015-09-01,2526.0,23982.0,301388.0
2015-10-01,2857.0,26655.0,325455.0
2015-11-01,2345.0,25377.0,306977.0
2015-12-01,2840.0,26537.0,342781.0
2016-01-01,2811.0,25261.0,409006.0
2016-02-01,3290.0,21543.0,379702.0
2016-03-01,5064.0,32679.0,416855.0
2016-04-01,2607.0,17025.0,350425.0
2016-05-01,2987.0,19548.0,409634.0
2016-06-01,2451.0,16119.0,308283.0
2016-07-01,5595.0,37732.0,388949.0
2016-08-01,2994.0,19966.0,320321.0
2016-09-01,2433.0,16378.0,315993.0
2016-10-01,2350.0,15107.0,291093.0
2016-11-01,2762.0,17631.0,355555.0
2016-12-01,2976.0,19137.0,409272.0
2017-01-01,2779.0,18037.0,67139.0
2017-02-01,2156.0,14107.0,53732.0
2017-03-01,1509.0,17831.0,64948.0
2017-04-01,2132.0,19207.0,62878.0
2017-05-01,2480.0,16731.0,60924.0
2017-06-01,2448.0,16201.0,60790.0
2017-07-01,2812.0,19148.0,66487.0
2017-08-01,2697.0,18295.0,61228.0
2017-09-01,3834.0,26761.0,67439.0
2017-10-01,3028.0,21131.0,79936.0
2017-11-01,2868.0,18966.0,64265.0
2017-12-01,6096.0,42173.0,72375.0
2018-01-01,2691.0,19084.0,590028.0
2018-02-01,12216.0,84565.0,412990.0
2018-03-01,2721.0,18790.0,385440.0
2018-04-01,2933.0,19231.0,389956.0
2018-05-01,3246.0,22760.0,405825.0
2018-06-01,2875.0,19425.0,371773.0
2018-07-01,2722.0,19060.0,384022.0
2018-08-01,2642.0,17719.0,340491.0
2018-09-01,2946.0,19137.0,341727.0
2018-10-01,2848.0,20101.0,424688.0
2018-11-01,3143.0,20931.0,453874.0
2018-12-01,3194.0,21143.0,452331.0
2019-01-01,3501.0,23713.0,488554.0
2019-02-01,2318.0,15754.0,285905.0
2019-03-01,2511.0,16913.0,272324.0
2019-04-01,2087.0,13872.0,244778.0
2019-05-01,1900.0,14013.0,204613.0
2019-06-01,4841.0,32114.0,162537.0
2019-07-01,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0
