measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2010-01-01,1204.679,6505.0,6505.0
2010-02-01,1112.2,6006.0,6006.0
2010-03-01,1184.41,6395.0,6395.0
2010-04-01,997.6350000000001,5387.0,5387.0
2010-05-01,726.642,3923.0,3923.0
2010-06-01,678.296,3662.0,3662.0
2010-07-01,1119.78,6046.0,6046.0
2010-08-01,1321.757,7137.0,7137.0
2010-09-01,1224.799,6614.0,6614.0
2010-10-01,1375.027,7424.0,7424.0
2010-11-01,1157.904,6253.0,6253.0
2010-12-01,1084.731,5857.0,5857.0
2011-01-01,771.202,7516.0,7516.0
2011-02-01,760.468,7410.0,7410.0
2011-03-01,604.901,5894.0,5894.0
2011-04-01,515.415,5022.0,5022.0
2011-05-01,459.868,4482.0,4482.0
2011-06-01,511.775,4987.0,4987.0
2011-07-01,820.499,7995.0,7995.0
2011-08-01,1007.375,9816.0,9816.0
2011-09-01,1022.643,9965.0,9965.0
2011-10-01,819.043,7981.0,7981.0
2011-11-01,807.474,7869.0,7869.0
2011-12-01,1050.577,10238.0,10238.0
2012-01-01,797.48,7589.0,7589.0
2012-02-01,797.42,7588.0,7588.0
2012-03-01,758.442,7217.0,7217.0
2012-04-01,702.716,6687.0,6687.0
2012-05-01,697.811,6640.0,6640.0
2012-06-01,738.751,7030.0,7030.0
2012-07-01,873.708,8315.0,8315.0
2012-08-01,1150.479,10948.0,10948.0
2012-09-01,1045.144,9946.0,9946.0
2012-10-01,967.113,9203.0,9203.0
2012-11-01,835.023,7946.0,7946.0
2012-12-01,787.733,7496.0,7496.0
2013-01-01,1211.835,12618.0,12618.0
2013-02-01,1116.294,11623.0,11623.0
2013-03-01,1076.596,11210.0,11210.0
2013-04-01,926.417,9646.0,9646.0
2013-05-01,978.368,10187.0,10187.0
2013-06-01,1157.478,12052.0,12052.0
2013-07-01,1468.709,15293.0,15293.0
2013-08-01,1497.881,15597.0,15597.0
2013-09-01,1494.137,15558.0,15558.0
2013-10-01,1296.432,13499.0,13499.0
2013-11-01,1278.762,13315.0,13315.0
2013-12-01,1489.131,15505.0,15505.0
2014-01-01,1363.798,11785.0,11785.0
2014-02-01,1273.552,11005.0,11005.0
2014-03-01,1105.163,9550.0,9550.0
2014-04-01,1050.86,9081.0,9081.0
2014-05-01,1059.622,9156.0,9156.0
2014-06-01,1044.602,9026.0,9026.0
2014-07-01,1477.988,12771.0,12771.0
2014-08-01,1525.652,13183.0,13183.0
2014-09-01,1595.863,13790.0,13790.0
2014-10-01,1574.302,13604.0,13604.0
2014-11-01,1137.748,9831.0,9831.0
2014-12-01,1237.61,10694.0,10694.0
2015-01-01,1142.85,10634.0,10634.0
2015-02-01,846.248,7873.0,7873.0
2015-03-01,991.404,9224.0,9224.0
2015-04-01,951.37,8852.0,8852.0
2015-05-01,928.787,8641.0,8641.0
2015-06-01,1306.035,12151.0,12151.0
2015-07-01,1473.042,13705.0,13705.0
2015-08-01,1553.788,14456.0,14456.0
2015-09-01,1543.053,14356.0,14356.0
2015-10-01,1486.421,13830.0,13830.0
2015-11-01,1095.973,10197.0,10197.0
2015-12-01,1172.289,10907.0,10907.0
