measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2002-01-01,747.192,47705.0,47705.0,452.593,28895.0,28895.0
2002-02-01,651.788,41614.0,41614.0,394.80400000000003,25205.0,25205.0
2002-03-01,828.072,52869.0,52869.0,501.584,32023.0,32023.0
2002-04-01,667.842,42639.0,42639.0,404.529,25826.0,25826.0
2002-05-01,692.4590000000001,44211.0,44211.0,419.44,26778.0,26778.0
2002-06-01,898.9,57391.0,57391.0,544.486,34762.0,34762.0
2002-07-01,1085.334,69295.0,69295.0,657.414,41971.0,41971.0
2002-08-01,1033.288,65972.0,65972.0,625.889,39958.0,39958.0
2002-09-01,931.534,59475.0,59475.0,564.254,36024.0,36024.0
2002-10-01,789.614,50414.0,50414.0,478.28900000000004,30535.0,30535.0
2002-11-01,727.3380000000001,46438.0,46438.0,440.567,28127.0,28127.0
2002-12-01,797.638,50926.0,50926.0,483.15,30846.0,30846.0
2004-01-01,545.59137,2639.85,26084.81,599.69463,2901.63,28671.5
2004-02-01,680.37992,3292.03,32529.05,599.69508,2901.63,28671.5
2004-03-01,863.5552299999999,4178.32,41286.64,599.69577,2901.63,28671.5
2004-04-01,827.14343,4002.14,39545.8,599.69557,2901.63,28671.5
2004-05-01,941.75911,4556.71,45025.56,599.69589,2901.64,28671.5
2004-06-01,813.54139,3936.33,38895.49,599.69561,2901.63,28671.5
2004-07-01,1563.95331,7567.21,74772.61,599.69669,2901.64,28671.5
2004-08-01,1463.39737,7080.67,69965.04,599.69663,2901.64,28671.5
2004-09-01,1307.72356,6327.43,62522.29,599.6964399999999,2901.64,28671.5
2004-10-01,936.74627,4532.46,44785.91,599.69573,2901.64,28671.5
2004-11-01,924.92112,4475.24,44220.54,599.69588,2901.64,28671.5
2004-12-01,791.74166,3830.85,37853.26,599.69534,2901.63,28671.5
2005-01-01,808.89502,3913.85,38673.33,536.06098,2593.74,25629.11
2005-02-01,730.1115,3532.65,34906.71,537.5635,2601.01,25700.97
2005-03-01,787.93813,3812.45,37671.42,655.08187,3169.62,31319.54
2005-04-01,791.72182,3830.76,37852.33,595.43418,2881.02,28467.79
2005-05-01,869.55348,4207.35,41573.45,629.79752,3047.28,30110.69
2005-06-01,1116.89252,5404.1,53398.67,603.25248,2918.84,28841.52
2005-07-01,1430.20078,6920.04,68378.0,713.76222,3453.55,34125.02
2005-08-01,1482.14438,7171.37,70861.36,689.51162,3336.21,32965.57
2005-09-01,1117.85264,5408.74,53444.59,597.20336,2889.58,28552.32
2005-10-01,867.66933,4198.23,41483.34,498.65666999999996,2412.76,23840.81
2005-11-01,774.16806,3745.82,37013.04,584.35694,2827.42,27938.15
2005-12-01,883.30327,4273.88,42230.78,555.6657299999999,2688.6,26566.41
2006-01-01,1185.34847,5735.32,51106.13,781.62853,3781.92,33699.8
2006-02-01,1045.29057,5057.65,45058.98,719.59743,3481.78,31019.44
2006-03-01,1158.4723000000001,5605.28,49908.9,908.0607,4393.66,39120.76
2006-04-01,1103.49695,5339.28,47553.3,814.54405,3941.18,35101.37
2006-05-01,1285.75259,6221.13,55427.3,875.04641,4233.92,37722.23
2006-06-01,1361.43675,6587.33,58750.26,729.89525,3531.61,31497.27
2006-07-01,1533.02177,7417.54,66150.2,835.13923,4040.83,36036.43
2006-08-01,1583.15834,7660.13,68337.18,793.50166,3839.37,34251.58
2006-09-01,1290.25717,6242.92,55642.63,805.20383,3895.99,34724.6
2006-10-01,1352.76323,6545.36,58329.46,873.77377,4227.76,37676.04
2006-11-01,1143.49941,5532.83,49271.85,864.35559,4182.19,37243.92
2006-12-01,1281.43856,6200.25,55252.98,831.29644,4022.24,35843.79
2007-01-01,840.042,4065.0,39015.0,572.605,2770.0,26595.0
2007-02-01,764.1120000000001,3697.0,35489.0,830.566,4015.0,38576.0
2007-03-01,706.822,3420.0,32828.0,925.243,4481.0,42969.0
2007-04-01,703.552,3404.0,32676.0,900.402,4360.0,41820.0
2007-05-01,784.754,3797.0,36448.0,798.931,3862.0,37107.0
2007-06-01,927.844,4490.0,43093.0,929.253,4497.0,43161.0
2007-07-01,1263.925,6115.0,58702.0,1051.986,5091.0,48863.0
2007-08-01,1401.189,6780.0,65077.0,999.999,4842.0,46446.0
2007-09-01,1104.166,5342.0,51282.0,899.921,4352.0,41796.0
2007-10-01,1046.422,5063.0,48600.0,909.2990000000001,4400.0,42230.0
2007-11-01,994.8820000000001,4814.0,46206.0,655.045,3172.0,30426.0
2007-12-01,1108.644,5364.0,51490.0,909.0970000000001,4400.0,42222.0
2008-01-01,1213.642,5872.0,59889.0,849.135,4109.0,41909.0
2008-02-01,1016.9200000000001,4920.0,50181.0,860.955,4166.0,42487.0
2008-03-01,954.375,4618.0,47095.0,909.989,4403.0,44904.0
2008-04-01,1085.684,5253.0,53574.0,896.147,4336.0,44221.0
2008-05-01,862.952,4175.0,42583.0,766.528,3709.0,37821.0
2008-06-01,944.5070000000001,4570.0,46607.0,832.8820000000001,4030.0,41098.0
2008-07-01,1237.125,5986.0,61047.0,896.657,4338.0,44245.0
2008-08-01,1447.303,7003.0,71419.0,646.835,3130.0,31919.0
2008-09-01,1303.559,6307.0,64325.0,329.586,1595.0,16261.0
2008-10-01,1215.2620000000002,5880.0,59968.0,642.197,3107.0,31686.0
2008-11-01,1058.3410000000001,5121.0,52225.0,819.1890000000001,3964.0,40423.0
2008-12-01,1183.912,5728.0,58421.0,811.618,3927.0,40054.0
2009-01-01,1481.8480000000002,7170.0,70312.0,324.44300000000004,1570.0,15394.0
2009-02-01,1363.472,6597.0,64697.0,273.947,1325.0,13001.0
2009-03-01,1268.705,6139.0,60201.0,332.105,1607.0,15755.0
2009-04-01,1089.842,5273.0,51714.0,312.754,1513.0,14839.0
2009-05-01,1107.251,5357.0,52540.0,380.564,1841.0,18059.0
2009-06-01,1026.223,4965.0,48695.0,348.586,1687.0,16542.0
2009-07-01,1877.787,9086.0,89102.0,350.18800000000005,1694.0,16614.0
2009-08-01,1925.5210000000002,9317.0,91367.0,343.981,1664.0,16325.0
2009-09-01,2017.7990000000002,9763.0,95745.0,239.072,1157.0,11346.0
2009-10-01,1577.8890000000001,7635.0,74871.0,316.584,1532.0,15024.0
2009-11-01,1440.952,6972.0,68374.0,390.47,1889.0,18525.0
2009-12-01,1653.981,8003.0,78482.0,339.326,1642.0,16100.0
2010-01-01,371.16200000000003,6613.0,67872.0,183.755,3274.0,33598.0
2010-02-01,342.66900000000004,6105.0,62661.0,137.344,2447.0,25118.0
2010-03-01,364.91700000000003,6502.0,66730.0,175.20700000000002,3122.0,32040.0
2010-04-01,307.372,5477.0,56207.0,152.972,2726.0,27977.0
2010-05-01,223.87800000000001,3989.0,40938.0,181.406,3232.0,33172.0
2010-06-01,208.983,3723.0,38215.0,180.54,3217.0,33011.0
2010-07-01,345.005,6147.0,63088.0,194.038,3457.0,35485.0
2010-08-01,407.23400000000004,7256.0,74467.0,179.28300000000002,3194.0,32786.0
2010-09-01,377.361,6724.0,69005.0,124.765,2223.0,22813.0
2010-10-01,423.646,7548.0,77469.0,169.89600000000002,3027.0,31068.0
2010-11-01,356.75,6356.0,65237.0,157.619,2808.0,28820.0
2010-12-01,334.206,5955.0,61113.0,151.99200000000002,2708.0,27792.0
2011-01-01,329.551,5374.0,49928.0,199.981,3261.0,30313.0
2011-02-01,324.965,5299.0,49233.0,258.456,4214.0,39154.0
2011-03-01,258.487,4215.0,39162.0,288.693,4707.0,43739.0
2011-04-01,220.248,3591.0,33368.0,237.053,3865.0,35910.0
2011-05-01,196.512,3204.0,29772.0,288.225,4700.0,43667.0
2011-06-01,218.693,3566.0,33133.0,266.082,4339.0,40311.0
2011-07-01,350.617,5717.0,53120.0,298.48,4867.0,45217.0
2011-08-01,430.473,7019.0,65218.0,275.357,4490.0,41716.0
2011-09-01,436.998,7126.0,66207.0,165.648,2701.0,25094.0
2011-10-01,349.995,5707.0,53025.0,248.077,4045.0,37588.0
2011-11-01,345.051,5626.0,52276.0,264.815,4318.0,40118.0
2011-12-01,448.935,7320.0,68015.0,286.608,4673.0,43418.0
2013-01-01,165.506,4392.0,48028.0,145.558,3863.0,42238.0
2013-02-01,152.458,4046.0,44243.0,130.035,3451.0,37733.0
2013-03-01,147.037,3902.0,42669.0,107.128,2843.0,31084.0
2013-04-01,126.526,3358.0,36716.0,61.834,1641.0,17947.0
2013-05-01,133.621,3546.0,38775.0,81.533,2164.0,23656.0
2013-06-01,158.083,4195.0,45875.0,146.964,3900.0,42647.0
2013-07-01,200.59,5323.0,58210.0,149.368,3964.0,43346.0
2013-08-01,204.574,5429.0,59366.0,149.028,3955.0,43250.0
2013-09-01,204.063,5415.0,59218.0,146.823,3896.0,42607.0
2013-10-01,177.061,4699.0,51382.0,132.257,3510.0,38383.0
2013-11-01,174.648,4635.0,50681.0,130.967,3475.0,38006.0
2013-12-01,203.379,5397.0,59019.0,138.959,3688.0,40327.0
