measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Sludge Waste Generation,Sludge Waste Quantity Consumed For Electricity,Sludge Waste Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2011-01-01,2009.348,23712.0,68010.0,778.446,9186.0,26348.0,7962.206,93959.0,269496.0
2011-02-01,1543.278,18212.0,50838.0,594.753,7018.0,19592.0,7202.969,85000.0,237276.0
2011-03-01,2608.297,30780.0,81553.0,760.173,8971.0,23768.0,7512.53,88653.0,234891.0
2011-04-01,2060.464,24315.0,69064.0,859.58,10144.0,28812.0,6763.956,79819.0,226719.0
2011-05-01,1469.175,17337.0,47684.0,646.288,7627.0,20976.0,6039.537,71270.0,196020.0
2011-06-01,1878.652,22169.0,63742.0,732.106,8639.0,24840.0,7137.242,84224.0,242163.0
2011-07-01,960.319,11332.0,32555.0,712.321,8406.0,24148.0,7203.36,85004.0,244197.0
2011-08-01,1143.467,13494.0,38871.0,642.94,7587.0,21856.0,7354.593,86789.0,250011.0
2011-09-01,1260.211,14871.0,42670.0,625.768,7384.0,21188.0,6874.021,81118.0,232749.0
2011-10-01,630.787,7444.0,21341.0,285.876,3374.0,9672.0,2821.337,33294.0,95454.0
2011-11-01,1128.334,13315.0,35630.0,807.404,9528.0,25496.0,8401.262,99140.0,265293.0
2011-12-01,1377.08,16250.0,36103.0,863.557,10191.0,22640.0,8232.363,97147.0,215829.0
2012-01-01,2884.581,34040.0,89276.0,825.479,9741.0,25548.0,7105.94,83855.0,219924.0
2012-02-01,5485.119,64728.0,188675.0,646.325,7627.0,22232.0,3775.556,44554.0,129870.0
2012-03-01,6487.115,76552.0,178190.0,1057.654,12481.0,29052.0,2869.231,33859.0,78813.0
2012-04-01,4849.699,57229.0,159777.0,668.615,7890.0,22028.0,3953.686,46656.0,130257.0
2012-05-01,4940.126,58297.0,159432.0,728.787,8600.0,23520.0,4055.087,47853.0,130869.0
2012-06-01,5615.937,66272.0,147888.0,849.105,10020.0,22360.0,2604.958,30740.0,68598.0
2012-07-01,3618.913,42705.0,95339.0,950.474,11216.0,25040.0,4516.613,53299.0,118989.0
2012-08-01,4297.687,50715.0,141464.0,619.875,7315.0,20404.0,4222.438,49827.0,138987.0
2012-09-01,4621.942,54542.0,120762.0,890.692,10511.0,23272.0,3324.366,39230.0,86859.0
2012-10-01,3894.852,45962.0,120760.0,783.745,9249.0,24300.0,4507.403,53190.0,139752.0
2012-11-01,2465.599,29096.0,74105.0,541.929,6395.0,16288.0,4546.472,53651.0,136647.0
2012-12-01,2029.475,23949.0,57768.0,823.342,9716.0,23436.0,6990.183,82489.0,198972.0
2013-01-01,1904.728,23660.0,58772.0,666.064,8274.0,20552.0,7115.208,88385.0,219546.0
2013-02-01,1729.087,21478.0,63737.0,574.578,7137.0,21180.0,5656.335,70262.0,208503.0
2013-03-01,1436.261,17841.0,57979.0,500.099,6212.0,20188.0,6058.64,75261.0,244575.0
2013-04-01,1206.616,14987.0,50083.0,463.83,5761.0,19252.0,5847.554,72630.0,242712.0
2013-05-01,1286.546,15981.0,46734.0,600.909,7464.0,21828.0,5506.545,68399.0,200025.0
2013-06-01,1053.882,13090.0,39672.0,436.201,5418.0,16420.0,5812.917,72203.0,218817.0
2013-07-01,1682.334,20896.0,57267.0,622.793,7736.0,21200.0,6371.873,79144.0,216900.0
2013-08-01,1468.413,18240.0,51546.0,667.17,8287.0,23420.0,6321.417,78522.0,221904.0
2013-09-01,2077.413,25805.0,56745.0,884.334,10985.0,24156.0,4752.253,59031.0,129810.0
2013-10-01,1584.931,19686.0,62139.0,446.867,5550.0,17520.0,3888.202,48294.0,152442.0
2013-11-01,2553.493,31719.0,92330.0,711.093,8833.0,25712.0,5700.414,70810.0,206118.0
