measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste heat not directly attributed to a fuel source Generation,Waste heat not directly attributed to a fuel source Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source Total Fuel Consumed
2001-01-01,2421.0820000000003,19290.0,19290.0,,,
2001-02-01,2516.025,20047.0,20047.0,,,
2001-03-01,2456.58,19573.0,19573.0,,,
2001-04-01,2382.3540000000003,18982.0,18982.0,,,
2001-05-01,2216.9120000000003,17664.0,17664.0,,,
2001-06-01,2246.0170000000003,17896.0,17896.0,,,
2001-07-01,2125.024,16932.0,16932.0,,,
2001-08-01,2473.05,19704.0,19704.0,,,
2001-09-01,1656.22,13196.0,13196.0,,,
2001-10-01,1516.7630000000001,12085.0,12085.0,,,
2001-11-01,1641.3970000000002,13078.0,13078.0,,,
2001-12-01,1688.576,13454.0,13454.0,,,
2002-01-01,1663.402,31790.0,31790.0,,,
2002-02-01,1357.787,25949.0,25949.0,,,
2002-03-01,1671.5990000000002,31947.0,31947.0,,,
2002-04-01,880.018,16818.0,16818.0,,,
2002-05-01,941.576,17995.0,17995.0,,,
2002-06-01,1418.61,27112.0,27112.0,,,
2002-07-01,1755.57,33552.0,33552.0,,,
2002-08-01,1250.611,23901.0,23901.0,,,
2002-09-01,1232.692,23559.0,23559.0,,,
2002-10-01,1294.816,24746.0,24746.0,,,
2002-11-01,1347.556,25754.0,25754.0,,,
2002-12-01,1409.7640000000001,26943.0,26943.0,,,
2003-01-01,2094.434,24082.0,24082.0,,,
2003-02-01,1796.912,20661.0,20661.0,,,
2003-03-01,1938.172,22285.0,22285.0,,,
2003-04-01,1965.47,22599.0,22599.0,,,
2003-05-01,2175.994,25020.0,25020.0,,,
2003-06-01,2137.442,24577.0,24577.0,,,
2003-07-01,2324.342,26726.0,26726.0,,,
2003-08-01,2402.898,27629.0,27629.0,,,
2003-09-01,1839.39,21150.0,21150.0,,,
2003-10-01,1849.246,21263.0,21263.0,,,
2003-11-01,1804.727,20751.0,20751.0,,,
2003-12-01,2147.972,24698.0,24698.0,,,
2004-01-01,1437.088,270269.0,270269.0,,,
2004-02-01,1360.5120000000002,255868.0,255868.0,,,
2004-03-01,1039.473,195491.0,195491.0,,,
2004-04-01,1001.51,188351.0,188351.0,,,
2004-05-01,1648.284,309988.0,309988.0,,,
2004-06-01,1711.991,321969.0,321969.0,,,
2004-07-01,1855.159,348894.0,348894.0,,,
2004-08-01,1676.047,315209.0,315209.0,,,
2004-09-01,1268.2430000000002,238515.0,238515.0,,,
2004-10-01,1352.786,254414.0,254414.0,,,
2004-11-01,1152.1870000000001,216689.0,216689.0,,,
2004-12-01,1106.721,208138.0,208138.0,,,
2005-01-01,1404.62,218059.5,218059.5,,,
2005-02-01,1267.816,196821.44,196821.44,,,
2005-03-01,1368.231,212410.21,212410.21,,,
2005-04-01,1374.8020000000001,213430.36,213430.36,,,
2005-05-01,1509.953,234411.83,234411.83,,,
2005-06-01,1939.4470000000001,301088.35,301088.35,,,
2005-07-01,2483.498,385549.23,385549.23,,,
2005-08-01,2573.694,399551.72,399551.72,,,
2005-09-01,1941.115,301347.29,301347.29,,,
2005-10-01,1506.68,233903.73,233903.73,,,
2005-11-01,1344.318,208697.96,208697.96,,,
2005-12-01,1533.828,238118.23,238118.23,,,
2008-01-01,0.0,0.0,0.0,95.95700000000001,946.0,946.0
2008-02-01,0.0,0.0,0.0,282.80400000000003,2787.0,2787.0
2008-03-01,0.0,0.0,0.0,332.76800000000003,3279.0,3279.0
2008-04-01,0.0,0.0,0.0,290.918,2867.0,2867.0
2008-05-01,0.0,0.0,0.0,224.679,2214.0,2214.0
2008-06-01,0.0,0.0,0.0,310.03200000000004,3055.0,3055.0
2008-07-01,0.0,0.0,0.0,245.699,2421.0,2421.0
2008-08-01,0.0,0.0,0.0,234.57,2311.0,2311.0
2008-09-01,0.0,0.0,0.0,239.388,2359.0,2359.0
2008-10-01,0.0,0.0,0.0,302.321,2979.0,2979.0
2008-11-01,0.0,0.0,0.0,228.03,2247.0,2247.0
2008-12-01,0.0,0.0,0.0,261.834,2580.0,2580.0
