measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Purchased Steam Generation,Purchased Steam Quantity Consumed For Electricity,Purchased Steam Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2011-01-01,,,,,,,,,,5196.323,50487.0,50487.0,,,
2011-02-01,,,,,,,,,,7580.38,73651.0,73651.0,,,
2011-03-01,,,,,,,,,,8009.103,77816.0,77816.0,,,
2011-04-01,,,,,,,,,,6446.646,62636.0,62636.0,,,
2011-05-01,,,,,,,,,,7935.708,77103.0,77103.0,,,
2011-06-01,,,,,,,,,,7755.651,75354.0,75354.0,,,
2011-07-01,,,,,,,,,,7986.687,77599.0,77599.0,,,
2011-08-01,,,,,,,,,,7960.251,77342.0,77342.0,,,
2011-09-01,,,,,,,,,,6032.334,58610.0,58610.0,,,
2011-10-01,,,,,,,,,,8428.468,81891.0,81891.0,,,
2011-11-01,,,,,,,,,,8178.216,79460.0,79460.0,,,
2011-12-01,,,,,,,,,,8147.233,79159.0,79159.0,,,
2012-01-01,,,,,,,,,,8545.0,81314.0,81314.0,,,
2012-02-01,,,,,,,,,,9680.0,92115.0,92115.0,,,
2012-03-01,,,,,,,,,,6624.0,63034.0,63034.0,,,
2012-04-01,,,,,,,,,,5888.0,56030.0,56030.0,,,
2012-05-01,,,,,,,,,,5013.0,47704.0,47704.0,,,
2012-06-01,,,,,,,,,,5654.0,53803.0,53803.0,,,
2012-07-01,,,,,,,,,,5997.0,57067.0,57067.0,,,
2012-08-01,,,,,,,,,,5257.0,50026.0,50026.0,,,
2012-09-01,,,,,,,,,,4173.0,39710.0,39710.0,,,
2012-10-01,,,,,,,,,,6762.0,64347.0,64347.0,,,
2012-11-01,,,,,,,,,,5292.0,50359.0,50359.0,,,
2012-12-01,,,,,,,,,,9280.0,88308.0,88308.0,,,
2013-01-01,,,,,,,,,,1397.0,13329.0,13329.0,,,
2013-02-01,,,,,,,,,,7736.0,73809.0,73809.0,,,
2013-03-01,,,,,,,,,,6649.0,63438.0,63438.0,,,
2013-04-01,,,,,,,,,,4752.0,45339.0,45339.0,,,
2013-05-01,,,,,,,,,,4384.0,41828.0,41828.0,,,
2013-06-01,,,,,,,,,,4812.0,45911.0,45911.0,,,
2013-07-01,,,,,,,,,,3967.0,37849.0,37849.0,,,
