measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0
2003-09-01,,,,0.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0
2004-01-01,2203.404,16636.93,16636.93,2191.474,21963.0,21963.0
2004-02-01,2428.103,18333.54,18333.54,2414.958,24203.0,24203.0
2004-03-01,3502.8590000000004,26448.55,26448.55,3483.895,34916.0,34916.0
2004-04-01,3999.5860000000002,30199.11,30199.11,3977.934,39867.0,39867.0
2004-05-01,4095.5350000000003,30923.58,30923.58,4073.3630000000003,40823.0,40823.0
2004-06-01,5123.066,38682.02,38682.02,5095.3330000000005,51065.0,51065.0
2004-07-01,5564.378000000001,42014.17,42014.17,5534.254,55464.0,55464.0
2004-08-01,5208.24,39325.13,39325.13,5180.045,51914.0,51914.0
2004-09-01,7437.5740000000005,56157.85,56157.85,7397.308,74136.0,74136.0
2004-10-01,5666.428,42784.7,42784.71,5635.751,56481.0,56481.0
2004-11-01,2865.0190000000002,21632.5,21632.5,2849.5080000000003,28558.0,28558.0
2004-12-01,2623.259,19807.08,19807.08,2609.058,26148.0,26148.0
2005-01-01,820.861,6197.96,6197.96,9945.169,99442.0,99442.0
2005-02-01,0.0,0.0,0.0,8334.24,83334.0,83334.0
2005-03-01,10584.64,79919.96,243544.16,0.0,0.0,0.0
2005-04-01,915.68,6913.9,161505.98,0.0,0.0,0.0
2005-05-01,310.99600000000004,2348.19,2348.19,8771.114,87702.0,87702.0
2005-06-01,0.0,0.0,0.0,8408.93,84081.0,84081.0
2005-07-01,0.0,0.0,0.0,8269.25,82684.0,82684.0
2005-08-01,0.0,0.0,0.0,7849.24,78485.0,78485.0
2005-09-01,0.0,0.0,0.0,7678.52,76778.0,76778.0
2005-10-01,3262.105,24630.72,24630.72,6995.645,69949.0,69949.0
2005-11-01,655.72,4951.05,78414.8,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,12545.01,125438.0,125438.0
2006-01-01,0.0,0.0,0.0,12603.21,125011.0,125011.0
2006-02-01,626.7330000000001,4732.18,4732.18,10460.367,103756.0,103756.0
2006-03-01,0.0,0.0,0.0,12338.4,122385.0,122385.0
2006-04-01,601.4,4540.91,13875.38,0.0,0.0,0.0
2006-05-01,4739.125,35783.05,35783.05,6385.805,63341.0,63341.0
2006-06-01,0.0,0.0,0.0,10472.12,103873.0,103873.0
2006-07-01,3922.398,29616.3,29616.3,4652.402,46147.0,46147.0
2006-08-01,9970.63,75283.84,78653.4,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,9647.62,95695.0,95695.0
2006-10-01,0.0,0.0,0.0,11140.45,110502.0,110502.0
2006-11-01,5791.87,43731.86,93684.15,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,13315.19,132073.0,132073.0
2007-01-01,1277.786,9648.0,9649.0,11243.944,111135.0,111135.0
2007-02-01,5.695,43.0,43.0,11611.995,114773.0,114773.0
