measured_on,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,16583.0,294509.0,294509.0
2001-02-01,13801.0,247747.0,247747.0
2001-03-01,16655.0,277584.0,277584.0
2001-04-01,18405.0,306144.0,306144.0
2001-05-01,23552.0,375322.0,375322.0
2001-06-01,20030.0,255101.0,255101.0
2001-07-01,22811.0,304397.0,304397.0
2001-08-01,22526.0,313555.0,313555.0
2001-09-01,23136.0,299664.0,299664.0
2001-10-01,11032.0,162874.0,162874.0
2001-11-01,22538.0,337613.0,337613.0
2001-12-01,20913.0,321475.0,321475.0
2002-01-01,24001.0,349416.0,349416.0
2002-02-01,19849.0,211239.0,211239.0
2002-03-01,20075.0,271017.0,271017.0
2002-04-01,15562.0,200178.0,200178.0
2002-05-01,13473.0,159102.0,159102.0
2002-06-01,17477.0,204480.0,204480.0
2002-07-01,27620.0,274221.0,274221.0
2002-08-01,22122.0,293211.0,293211.0
2002-09-01,20405.0,273006.0,273006.0
2002-10-01,0.0,0.0,0.0
2002-11-01,20182.0,278586.0,278586.0
2002-12-01,22629.0,326250.0,326250.0
2003-01-01,20401.0,339174.0,339174.0
2003-02-01,19041.0,261225.0,261225.0
2003-03-01,12117.0,175707.0,175707.0
2003-04-01,20054.0,330912.0,330912.0
2003-05-01,11857.0,182061.0,182061.0
2003-06-01,8691.0,131418.0,131418.0
2003-07-01,19614.0,297153.0,297153.0
2003-08-01,24297.0,351072.0,351072.0
2003-09-01,22104.0,319743.0,319743.0
2003-10-01,14811.0,213669.0,213669.0
2003-11-01,19536.0,280242.0,280242.0
2003-12-01,15285.0,219834.0,219834.0
2004-01-01,21536.0,309951.0,309951.0
2004-02-01,19780.0,284832.0,284832.0
2004-03-01,20891.0,300843.0,300843.0
2004-04-01,12942.0,180540.0,180540.0
2004-05-01,20445.0,285219.0,285219.0
2004-06-01,6248.0,87156.0,87156.0
2004-07-01,12017.0,194679.0,194679.0
2004-08-01,15404.0,214884.0,214884.0
2004-09-01,11682.0,162963.0,162963.0
2004-10-01,12474.0,174015.0,174015.0
2004-11-01,4054.0,56565.0,56565.0
2004-12-01,17808.0,256428.0,256428.0
2005-01-01,19416.0,292536.0,292536.0
2005-02-01,11213.0,171567.0,171567.0
2005-03-01,16635.0,243198.0,243198.0
2005-04-01,12333.0,169848.0,169848.0
2005-05-01,10770.0,154305.0,154305.0
2005-06-01,15279.0,219780.0,219780.0
2005-07-01,16500.0,291879.0,291879.0
2005-08-01,18247.0,254547.0,254547.0
2005-09-01,10620.0,148149.0,148149.0
2005-10-01,21621.0,301617.0,301617.0
2005-11-01,16926.0,216297.0,216297.0
2005-12-01,21544.0,322137.0,322137.0
2006-01-01,21350.0,354411.0,354411.0
2006-02-01,20363.0,358884.0,358884.0
2006-03-01,15021.0,284868.0,284868.0
2006-04-01,4441.0,76266.0,76266.0
2006-05-01,14126.0,228906.0,228906.0
2006-06-01,18313.0,286839.0,286839.0
2006-07-01,19160.0,298872.0,298872.0
2006-08-01,21450.0,293877.0,293877.0
2006-09-01,19476.0,277920.0,277920.0
2006-10-01,8315.0,154593.0,154593.0
2006-11-01,19294.0,259353.0,259353.0
2006-12-01,22645.0,305370.0,305370.0
2007-01-01,22423.0,307404.0,307404.0
2007-02-01,20349.0,286542.0,286542.0
2007-03-01,20585.0,319770.0,319770.0
2007-04-01,4419.0,58167.0,58167.0
2007-05-01,21342.0,284382.0,284382.0
2007-06-01,17991.0,245322.0,245322.0
2007-07-01,19377.0,270306.0,270306.0
2007-08-01,20484.0,269586.0,269586.0
2007-09-01,12408.0,157248.0,157248.0
2007-10-01,21465.0,308133.0,308133.0
2007-11-01,20534.0,292653.0,292653.0
2007-12-01,22437.0,330723.0,330723.0
2009-01-01,22476.0,369954.0,369954.0
2009-02-01,17997.0,281754.0,281754.0
2009-03-01,14455.0,203089.0,203089.0
2009-04-01,14439.0,177153.0,177153.0
2009-05-01,20134.0,263966.0,263966.0
2009-06-01,23040.0,285007.0,285007.0
2009-07-01,21931.0,266238.0,266238.0
2009-08-01,22191.0,267172.0,267172.0
2009-09-01,21754.0,259809.0,259809.0
2009-10-01,17001.0,202294.0,202294.0
2009-11-01,23374.0,287517.0,287517.0
2009-12-01,24168.0,302924.0,302924.0
2010-01-01,13900.0,190388.0,190388.0
2010-02-01,21991.0,296733.0,296733.0
2010-03-01,22547.0,298775.0,298775.0
2010-04-01,16065.0,216103.0,216103.0
2010-05-01,25534.0,331551.0,331551.0
2010-06-01,24829.0,300341.0,300341.0
2010-07-01,24999.0,295380.0,295380.0
2010-08-01,25361.0,293052.0,293052.0
2010-09-01,18652.0,217726.0,217726.0
2010-10-01,11604.0,139941.0,139941.0
2010-11-01,10082.0,130118.0,130118.0
2010-12-01,23309.0,303252.0,303252.0
