measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,,,,556.812,5734.0,43359.0,122.57100000000001,1262.0,9545.0
2001-02-01,,,,496.812,5116.0,38687.0,109.364,1126.0,8516.0
2001-03-01,,,,525.422,5411.0,40915.0,115.661,1191.0,9007.0
2001-04-01,,,,423.82300000000004,4365.0,33003.0,93.296,961.0,7265.0
2001-05-01,,,,440.564,4537.0,34307.0,96.98100000000001,999.0,7552.0
2001-06-01,,,,588.95,6065.0,45862.0,129.64600000000002,1335.0,10096.0
2001-07-01,,,,596.841,6146.0,46476.0,131.383,1353.0,10231.0
2001-08-01,,,,672.089,6921.0,52336.0,147.947,1524.0,11521.0
2001-09-01,,,,525.465,5411.0,40918.0,115.671,1191.0,9007.0
2001-10-01,,,,483.627,4980.0,37660.0,106.461,1096.0,8290.0
2001-11-01,,,,486.637,5011.0,37894.0,107.12400000000001,1103.0,8342.0
2001-12-01,,,,502.285,5173.0,39113.0,110.56800000000001,1139.0,8610.0
2002-01-01,,,,581.7370000000001,53291.0,53291.0,0.0,0.0,0.0
2002-02-01,,,,528.562,48420.0,48420.0,0.0,0.0,0.0
2002-03-01,,,,561.1080000000001,51402.0,51402.0,0.0,0.0,0.0
2002-04-01,,,,480.27200000000005,43996.0,43996.0,0.0,0.0,0.0
2002-05-01,,,,484.596,44392.0,44392.0,0.0,0.0,0.0
2002-06-01,,,,638.4110000000001,58483.0,58483.0,0.0,0.0,0.0
2002-07-01,,,,735.653,67391.0,67391.0,0.0,0.0,0.0
2002-08-01,,,,751.089,68805.0,68805.0,0.0,0.0,0.0
2002-09-01,,,,654.96,59999.0,59999.0,0.0,0.0,0.0
2002-10-01,,,,480.829,44047.0,44047.0,0.0,0.0,0.0
2002-11-01,,,,563.336,51606.0,51606.0,0.0,0.0,0.0
2002-12-01,,,,617.447,56563.0,56563.0,0.0,0.0,0.0
2004-01-01,104.61,1048.4,1048.4,131.91400000000002,1546.71,11063.14,0.0,0.0,0.0
2004-02-01,104.61,1048.4,1048.4,405.05100000000004,4749.25,33970.08,0.0,0.0,0.0
2004-03-01,104.61,1048.4,1048.4,219.559,2574.34,18413.59,0.0,0.0,0.0
2004-04-01,104.61,1048.4,1048.4,184.74200000000002,2166.12,15493.63,0.0,0.0,0.0
2004-05-01,104.61,1048.4,1048.4,487.66400000000004,5717.91,40898.58,0.0,0.0,0.0
2004-06-01,104.61,1048.4,1048.4,1358.978,15934.14,113972.45,0.0,0.0,0.0
2004-07-01,104.61,1048.4,1048.4,1208.1660000000002,14165.85,101324.35,0.0,0.0,0.0
2004-08-01,104.61,1048.4,1048.4,1236.0140000000001,14492.37,103659.87,0.0,0.0,0.0
2004-09-01,104.61,1048.4,1048.4,536.875,6294.9,45025.68,0.0,0.0,0.0
2004-10-01,104.61,1048.4,1048.4,350.78,4112.93,29418.59,0.0,0.0,0.0
2004-11-01,104.61,1048.4,1048.4,591.139,6931.16,49576.64,0.0,0.0,0.0
2004-12-01,104.61,1048.4,1048.4,738.719,8661.54,61953.58,0.0,0.0,0.0
2005-01-01,176.306,1762.89,1762.89,251.8777,2953.28,30998.3,0.6343,7.44,78.06
2005-02-01,143.27,1432.56,1432.56,223.299,2618.2,27480.79,0.259,3.04,31.88
2005-03-01,156.538,1565.22,1565.22,266.46749,3124.36,32793.51,0.35651,4.18,43.88
2005-04-01,196.23600000000002,1962.17,1962.17,273.19632,3203.25,33621.4,0.20568,2.41,25.31
2005-05-01,145.394,1453.8,1453.8,221.6287,2598.61,27275.0,0.0843,0.99,10.38
2005-06-01,130.265,1302.52,1302.52,377.05217,4420.96,46402.84,0.47383,5.56,58.31
2005-07-01,110.602,1105.91,1105.91,485.88557000000003,5697.04,59796.58,0.57743,6.77,71.06
2005-08-01,87.209,872.0,872.0,519.48349,6090.99,63931.49,0.67951,7.97,83.63
2005-09-01,75.334,753.26,753.26,343.6413,4029.24,42291.27,0.5307000000000001,6.22,65.31
2005-10-01,153.231,1532.16,1532.16,237.64448,2786.4,29246.62,0.48651999999999995,5.7,59.88
2005-11-01,168.269,1682.52,1682.52,213.31553,2501.14,26252.14,0.22447,2.63,27.63
2005-12-01,177.965,1779.47,1779.47,230.46969,2702.27,28363.72,0.66731,7.82,82.13
2006-01-01,464.677,4609.0,4609.0,0.0,0.0,28032.33,0.0,0.0,0.0
2006-02-01,368.103,3651.0,3651.0,0.0,0.0,27950.61,0.0,0.0,0.0
2006-03-01,281.315,2790.0,2790.0,0.0,0.0,30492.61,0.0,0.0,0.0
2006-04-01,246.165,2442.0,2442.0,,,,,,
