measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2004-12-01,161.0,1697.0,1697.0,13491.0,144715.0,144715.0
2005-01-01,11536.0,125057.76,125057.76,0.0,0.0,0.0
2005-02-01,731.0,8795.04,8795.04,0.0,0.0,0.0
2005-03-01,1884.0,22168.64,22168.64,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,1626.0,19057.0,19057.0
2005-05-01,0.0,0.0,0.0,1628.0,19247.89,19247.89
2005-06-01,0.0,0.0,0.0,42432.0,450477.47,450477.47
2005-07-01,764.0,8684.08,8684.08,38051.0,419539.09,419539.09
2005-08-01,5844.0,49504.92,49504.92,36624.0,412351.68,412351.68
2005-09-01,3057.0,34314.72,34314.72,52027.0,549342.46,549342.46
2005-10-01,0.0,0.0,0.0,26111.0,278940.92,278940.92
2005-11-01,0.0,0.0,0.0,4373.0,52929.45,52929.45
2005-12-01,11032.0,126196.4,126196.4,1606.0,16687.3,16687.3
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,1518.0,16767.0,16767.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,2602.0,40543.0,40543.0
2006-05-01,0.0,0.0,0.0,2472.0,41161.0,41161.0
2006-06-01,0.0,0.0,0.0,22005.0,244046.0,244046.0
2006-07-01,0.0,0.0,0.0,76786.0,819592.0,819592.0
2006-08-01,0.0,0.0,0.0,110657.0,1167043.0,1167043.0
2006-09-01,0.0,0.0,0.0,-1393.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,1174.0,25319.0,25319.0
2006-11-01,1516.0,22243.0,22243.0,3892.0,52456.0,52456.0
2006-12-01,401.0,19964.0,19964.0,0.0,0.0,0.0
2007-01-01,2492.126,37491.0,37491.0,1087.874,16366.0,16366.0
2007-02-01,26007.0,290035.0,290035.0,0.0,0.0,0.0
2007-03-01,-437.0,0.0,0.0,-437.0,0.0,0.0
2007-04-01,2447.217,29000.0,29000.0,9279.783000000001,109967.0,109967.0
2007-05-01,0.0,0.0,0.0,1757.0,33851.0,33851.0
2007-06-01,3716.391,43384.0,43384.0,13109.609,153038.0,153038.0
2007-07-01,0.0,0.0,0.0,53826.0,580449.0,580449.0
2007-08-01,0.0,0.0,0.0,86618.0,937740.0,937740.0
2007-09-01,0.0,0.0,0.0,38316.0,417571.0,417571.0
2007-10-01,1795.702,20045.0,20045.0,22793.298,254434.0,254434.0
2007-11-01,346.60400000000004,4112.0,4112.0,5233.396000000001,62090.0,62090.0
2007-12-01,2677.0,38834.0,38834.0,0.0,0.0,0.0
2008-01-01,13545.0,177989.0,177989.0,0.0,0.0,0.0
2008-02-01,4158.0,52746.0,52746.0,0.0,0.0,0.0
2008-03-01,63.0,8774.0,8774.0,0.0,0.0,0.0
2008-04-01,4541.649,59421.0,59421.0,233.351,3053.0,3053.0
2008-05-01,0.0,0.0,0.0,835.0,17537.0,17537.0
2008-06-01,1016.5340000000001,11583.0,11583.0,42570.466,485057.0,485057.0
2008-07-01,0.0,0.0,0.0,55064.0,597505.0,597505.0
2008-08-01,0.0,0.0,0.0,7283.0,90053.0,90053.0
2008-09-01,0.0,0.0,0.0,6359.0,79614.0,79614.0
2008-10-01,0.0,0.0,0.0,2390.0,35521.0,35521.0
2008-11-01,0.0,0.0,0.0,-777.0,2694.0,2694.0
2008-12-01,2905.742,45371.0,45371.0,456.25800000000004,7124.0,7124.0
2009-01-01,4461.152,62941.0,62941.0,395.848,5585.0,5585.0
2009-02-01,891.519,20866.0,20866.0,227.48100000000002,5324.0,5324.0
2009-03-01,8466.957,104033.0,104033.0,1952.0430000000001,23985.0,23985.0
2009-04-01,0.0,0.0,0.0,817.0,24875.0,24875.0
2009-05-01,-371.0,0.0,0.0,-371.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,5543.0,63696.0,63696.0
2009-07-01,0.0,0.0,0.0,7754.0,90780.0,90780.0
2009-08-01,0.0,0.0,0.0,46823.0,509543.0,509543.0
2009-09-01,0.0,0.0,0.0,-655.0,669.0,669.0
2009-10-01,0.0,0.0,0.0,2165.0,30996.0,30996.0
2009-11-01,0.0,0.0,0.0,8090.0,93519.0,93519.0
2009-12-01,0.0,0.0,0.0,6568.0,77137.0,77137.0
2010-01-01,2413.4280000000003,25374.0,25374.0,8080.572,84957.0,84957.0
2010-02-01,0.0,0.0,0.0,720.0,16015.0,16015.0
2010-03-01,-124.174,0.0,0.0,-671.826,0.0,0.0
2010-04-01,0.0,0.0,0.0,16806.0,185089.0,185089.0
2010-05-01,0.0,0.0,0.0,34114.0,371619.0,371619.0
2010-06-01,0.0,0.0,0.0,84813.0,911540.0,911540.0
2010-07-01,0.0,0.0,0.0,97376.0,1048500.0,1048500.0
2010-08-01,0.0,0.0,0.0,70765.0,819871.0,819871.0
2010-09-01,607.284,6693.0,6693.0,28316.716,312095.0,312095.0
2010-10-01,0.0,0.0,0.0,55281.0,613063.0,613063.0
