measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2018-01-01,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2019-01-01,639.031,5401.0,5401.0
2019-02-01,592.515,5009.0,5009.0
2019-03-01,516.702,4368.0,4368.0
2019-04-01,362.569,3066.0,3066.0
2019-05-01,312.43,2641.0,2641.0
2019-06-01,417.775,3532.0,3532.0
2019-07-01,658.583,5567.0,5567.0
2019-08-01,773.585,6540.0,6540.0
2019-09-01,680.697,5755.0,5755.0
2019-10-01,697.181,5894.0,5894.0
2019-11-01,683.752,5781.0,5781.0
2019-12-01,709.18,5996.0,5996.0
2020-01-01,579.874,4079.0,4079.0
2020-02-01,512.084,3603.0,3603.0
2020-03-01,568.448,3999.0,3999.0
2020-04-01,402.007,2828.0,2828.0
2020-05-01,377.995,2659.0,2659.0
2020-06-01,531.73,3740.0,3740.0
2020-07-01,743.834,5233.0,5233.0
2020-08-01,925.009,6508.0,6508.0
2020-09-01,805.539,5667.0,5667.0
2020-10-01,836.572,5885.0,5885.0
2020-11-01,668.224,4701.0,4701.0
2020-12-01,740.684,5211.0,5211.0
2021-01-01,540.306,3926.0,3926.0
2021-02-01,458.196,3328.0,3328.0
2021-03-01,492.649,3579.0,3579.0
2021-04-01,437.144,3175.0,3175.0
2021-05-01,456.872,3319.0,3319.0
2021-06-01,624.747,4538.0,4538.0
2021-07-01,862.138,6263.0,6263.0
2021-08-01,787.161,5718.0,5718.0
2021-09-01,669.781,4865.0,4865.0
2021-10-01,638.508,4638.0,4638.0
2021-11-01,586.82,4263.0,4263.0
2021-12-01,605.678,4400.0,4400.0
