measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,1781.816,16318.0,99434.0,,,
2001-02-01,1710.738,15667.0,95467.0,,,
2001-03-01,1756.409,16085.0,98016.0,,,
2001-04-01,1646.335,15077.0,91873.0,,,
2001-05-01,1586.103,14526.0,88512.0,,,
2001-06-01,1958.363,17935.0,109286.0,,,
2001-07-01,2001.266,18328.0,111680.0,,,
2001-08-01,2297.163,21037.0,128192.0,,,
2001-09-01,1817.741,16647.0,101438.0,,,
2001-10-01,1800.1840000000002,16486.0,100459.0,,,
2001-11-01,1821.97,16686.0,101674.0,,,
2001-12-01,2052.913,18801.0,114562.0,,,
2002-01-01,1633.445,11193.0,78371.0,151.175,1036.0,7253.0
2002-02-01,1434.353,9829.0,68819.0,132.749,910.0,6369.0
2002-03-01,1501.8690000000001,10292.0,72058.0,138.99800000000002,953.0,6669.0
2002-04-01,1440.12,9869.0,69096.0,133.28300000000002,913.0,6395.0
2002-05-01,1534.105,10513.0,73605.0,141.981,973.0,6812.0
2002-06-01,1692.3960000000002,11597.0,81200.0,156.631,1073.0,7515.0
2002-07-01,1941.996,13308.0,93175.0,179.731,1232.0,8624.0
2002-08-01,1991.256,13645.0,95539.0,184.29,1263.0,8842.0
2002-09-01,1738.527,11914.0,83413.0,160.9,1103.0,7720.0
2002-10-01,1551.019,10629.0,74416.0,143.54600000000002,984.0,6887.0
2002-11-01,1374.0230000000001,9416.0,65924.0,127.16600000000001,871.0,6101.0
2002-12-01,1615.891,11073.0,77529.0,149.55,1025.0,7176.0
2003-01-01,1685.482,8574.0,80291.0,56.045,285.0,2668.0
2003-02-01,1522.165,7743.0,72511.0,50.614000000000004,257.0,2410.0
2003-03-01,1561.7230000000002,7944.0,74396.0,51.93,264.0,2472.0
2003-04-01,1409.564,7170.0,67147.0,46.87,238.0,2231.0
2003-05-01,1426.034,7254.0,67932.0,47.418,241.0,2257.0
2003-06-01,1581.729,8046.0,75349.0,52.595,267.0,2504.0
2003-07-01,1838.8210000000001,9354.0,87596.0,61.143,311.0,2911.0
2003-08-01,1866.7420000000002,9496.0,88926.0,62.072,316.0,2955.0
2003-09-01,1573.739,8005.0,74968.0,52.329,266.0,2491.0
2003-10-01,1508.059,7671.0,71839.0,50.145,255.0,2387.0
2003-11-01,1481.232,7535.0,70561.0,49.253,250.0,2345.0
2003-12-01,1671.709,8504.0,79635.0,55.587,283.0,2646.0
2004-01-01,23.02346,269.95,1642.32,24.419539999999998,286.32,1741.91
2004-02-01,31.018559999999997,363.69,2212.6,14.47144,169.68,1032.27
2004-03-01,26.758589999999998,313.75,1908.74,13.73541,161.05,979.77
2004-04-01,28.412869999999998,333.14,2026.73,13.62913,159.8,972.19
2004-05-01,55.976189999999995,656.32,3992.77,10.68381,125.27,762.07
2004-06-01,67.85204,795.58,4839.96,13.446959999999999,157.67,959.19
2004-07-01,79.37125,930.64,5661.58,16.344749999999998,191.64,1165.88
2004-08-01,83.0321,973.56,5922.73,13.747900000000001,161.19,980.65
2004-09-01,97.63986,1144.84,6964.61,8.52214,99.92,607.88
2004-10-01,69.34107,813.03,4946.06,8.33293,97.7,594.38
2004-11-01,48.96631,574.14,3492.78,9.24669,108.42,659.57
2004-12-01,32.91265,385.9,2347.69,14.21435,166.66,1013.92
