measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,1071.499,11071.8,11071.8
2001-02-01,928.0920000000001,9589.97,9589.97
2001-03-01,1008.4530000000001,10420.34,10420.34
2001-04-01,856.705,8852.33,8852.33
2001-05-01,964.865,9969.95,9969.95
2001-06-01,1020.9870000000001,10549.86,10549.86
2001-07-01,1060.229,10955.35,10955.35
2001-08-01,1089.844,11261.36,11261.36
2001-09-01,758.778,7840.45,7840.45
2001-10-01,858.947,8875.5,8875.5
2001-11-01,828.055,8556.29,8556.29
2001-12-01,926.546,9574.0,9574.0
2002-01-01,913.0,9287.95,9287.95
2002-02-01,481.0,4893.21,4893.21
2002-03-01,1202.0,12227.95,12227.95
2002-04-01,1944.0,19776.31,19776.31
2002-05-01,2295.0,23347.04,23347.04
2002-06-01,1950.0,19837.35,19837.35
2002-07-01,2023.0,20579.98,20579.98
2002-08-01,1069.0,10874.94,10874.94
2002-09-01,743.0,7558.54,7558.54
2002-10-01,1920.0,19532.16,19532.16
2002-11-01,1275.0,12970.58,12970.58
2002-12-01,827.0,8413.07,8413.07
2003-01-01,487.0,4987.37,4987.37
2003-02-01,460.0,4710.86,4710.86
2003-03-01,898.0,9196.42,9196.42
2003-04-01,1850.0,18945.85,18945.85
2003-05-01,2297.0,23523.58,23523.58
2003-06-01,2108.0,21588.03,21588.03
2003-07-01,2108.0,21588.03,21588.03
2003-08-01,718.0,7353.04,7353.04
2003-09-01,450.0,4608.45,4608.45
2003-10-01,612.0,6267.49,6267.49
2003-11-01,1509.0,15453.67,15453.67
2003-12-01,755.0,7731.96,7731.96
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,1132.275,11321.62,11321.62
2005-02-01,978.9620000000001,9788.64,9788.64
2005-03-01,1072.412,10723.05,10723.05
2005-04-01,1024.373,10242.7,10242.7
2005-05-01,926.6360000000001,9265.43,9265.43
2005-06-01,1043.768,10436.64,10436.64
2005-07-01,1120.356,11202.44,11202.44
2005-08-01,947.961,9478.67,9478.67
2005-09-01,784.3860000000001,7843.07,7843.07
2005-10-01,669.46,6693.94,6693.94
2005-11-01,716.456,7163.84,7163.84
2005-12-01,876.955,8768.68,8768.68
2006-01-01,945.8670000000001,9382.0,9382.0
2006-02-01,852.893,8460.0,8460.0
2006-03-01,751.41,7453.0,7453.0
2006-04-01,817.8860000000001,8113.0,8113.0
2006-05-01,967.013,9592.0,9592.0
2006-06-01,950.153,9425.0,9425.0
2006-07-01,996.3660000000001,9883.0,9883.0
2006-08-01,989.166,9812.0,9812.0
2006-09-01,642.086,6369.0,6369.0
2006-10-01,566.044,5615.0,5615.0
2006-11-01,663.024,6577.0,6577.0
2006-12-01,702.0930000000001,6964.0,6964.0
2007-01-01,1030.455,10185.0,10185.0
2007-02-01,492.672,4870.0,4870.0
2007-03-01,1525.662,15080.0,15080.0
2007-04-01,1599.1570000000002,15806.0,15806.0
2007-05-01,916.918,9063.0,9063.0
2007-06-01,274.214,2710.0,2710.0
2007-07-01,280.803,2775.0,2775.0
2007-08-01,335.54400000000004,3317.0,3317.0
2007-09-01,216.93800000000002,2144.0,2144.0
2007-10-01,380.655,3762.0,3762.0
2007-11-01,277.762,2745.0,2745.0
2007-12-01,939.22,9283.0,9283.0
2009-01-01,425.312,4151.0,4151.0
2009-02-01,617.316,6025.0,6025.0
2009-03-01,1065.611,10400.0,10400.0
2009-04-01,1678.564,16383.0,16383.0
2009-05-01,642.3340000000001,6269.0,6269.0
2009-06-01,425.605,4154.0,4154.0
2009-07-01,182.11100000000002,1777.0,1777.0
2009-08-01,206.839,2019.0,2019.0
2009-09-01,192.875,1882.0,1882.0
2009-10-01,398.259,3887.0,3887.0
2009-11-01,484.07800000000003,4725.0,4725.0
2009-12-01,445.096,4344.0,4344.0
