measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2009-08-01,,,,25330.0,247221.0,247221.0
2009-09-01,,,,24101.0,235226.0,235226.0
2009-10-01,,,,39844.0,388877.0,388877.0
2009-11-01,,,,34682.0,338496.0,338496.0
2009-12-01,,,,32761.0,319747.0,319747.0
2010-01-01,,,,31959.0,311792.0,311792.0
2010-02-01,,,,24768.0,241637.0,241637.0
2010-03-01,,,,41036.0,400347.0,400347.0
2010-04-01,,,,45421.0,443127.0,443127.0
2010-05-01,,,,34517.0,336748.0,336748.0
2010-06-01,,,,42355.0,413215.0,413215.0
2010-07-01,,,,27074.0,264134.0,264134.0
2010-08-01,,,,25969.0,253354.0,253354.0
2010-09-01,,,,22053.0,215149.0,215149.0
2010-10-01,,,,21899.0,213647.0,213647.0
2010-11-01,,,,27739.0,270622.0,270622.0
2010-12-01,,,,39691.0,387225.0,387225.0
2011-01-01,,,,25935.0,251984.0,251984.0
2011-02-01,,,,23659.0,229871.0,229871.0
2011-03-01,,,,19468.0,189151.0,189151.0
2011-04-01,,,,28388.0,275818.0,275818.0
2011-05-01,,,,42278.0,410773.0,410773.0
2011-06-01,,,,51257.0,498013.0,498013.0
2011-07-01,,,,33949.0,329848.0,329848.0
2011-08-01,,,,33227.0,322834.0,322834.0
2011-09-01,,,,27743.0,269551.0,269551.0
2011-10-01,,,,33279.0,323339.0,323339.0
2011-11-01,,,,25490.0,247661.0,247661.0
2011-12-01,,,,35770.0,347541.0,347541.0
2012-01-01,,,,43223.0,411310.0,411310.0
2012-02-01,,,,33635.0,320071.0,320071.0
2012-03-01,,,,41297.0,392982.0,392982.0
2012-04-01,,,,39219.0,373208.0,373208.0
2012-05-01,,,,35475.0,337580.0,337580.0
2012-06-01,,,,41793.0,397702.0,397702.0
2012-07-01,,,,30269.0,288040.0,288040.0
2012-08-01,,,,26284.0,250119.0,250119.0
2012-09-01,,,,36142.0,343927.0,343927.0
2012-10-01,,,,46584.0,443293.0,443293.0
2012-11-01,,,,46318.0,440762.0,440762.0
2012-12-01,,,,56233.0,535113.0,535113.0
2013-01-01,,,,41867.0,399453.0,399453.0
2013-02-01,,,,48458.0,462338.0,462338.0
2013-03-01,,,,64660.0,616921.0,616921.0
2013-04-01,,,,63964.0,610281.0,610281.0
2013-05-01,,,,67275.0,641871.0,641871.0
2013-06-01,,,,55705.0,531481.0,531481.0
2013-07-01,,,,29569.0,282118.0,282118.0
2013-08-01,,,,25519.0,243477.0,243477.0
2013-09-01,,,,23626.0,225416.0,225416.0
2013-10-01,,,,47199.0,450326.0,450326.0
2013-11-01,,,,50093.0,477937.0,477937.0
2013-12-01,,,,31365.0,299253.0,299253.0
2014-01-01,,,,69792.0,663722.0,663722.0
2014-02-01,,,,42651.0,405611.0,405611.0
2014-03-01,,,,63676.0,605559.0,605559.0
2014-04-01,,,,62270.0,592188.0,592188.0
2014-05-01,,,,52888.0,502965.0,502965.0
2014-06-01,,,,67296.0,639985.0,639985.0
2014-07-01,,,,34168.0,324938.0,324938.0
2014-08-01,,,,31118.0,295932.0,295932.0
2014-09-01,,,,29282.0,278472.0,278472.0
2014-10-01,,,,38250.0,363758.0,363758.0
2014-11-01,,,,58285.0,554290.0,554290.0
2014-12-01,,,,43011.0,409035.0,409035.0
2015-01-01,,,,42360.0,394753.0,394753.0
2015-02-01,,,,48415.0,451179.0,451179.0
2015-03-01,,,,29585.0,275703.0,275703.0
2015-04-01,,,,51421.0,479192.0,479192.0
2015-05-01,,,,52769.0,491754.0,491754.0
2015-06-01,,,,36031.0,335773.0,335773.0
2015-07-01,,,,38178.0,355781.0,355781.0
2015-08-01,,,,28762.0,268033.0,268033.0
2015-09-01,,,,31823.0,296559.0,296559.0
2015-10-01,,,,34660.0,322997.0,322997.0
2015-11-01,,,,50496.0,470572.0,470572.0
2015-12-01,,,,50505.0,470656.0,470656.0
2016-01-01,,,,44651.0,412218.0,412218.0
2016-02-01,,,,48662.0,449248.0,449248.0
2016-03-01,,,,60879.0,562035.0,562035.0
2016-04-01,,,,43133.0,398204.0,398204.0
2016-05-01,,,,54949.0,507289.0,507289.0
2016-06-01,,,,32330.0,298471.0,298471.0
2016-07-01,,,,52696.0,486489.0,486489.0
2016-08-01,,,,28878.0,266602.0,266602.0
2016-09-01,,,,33280.0,307241.0,307241.0
2016-10-01,,,,52474.0,484440.0,484440.0
2016-11-01,,,,39471.0,364396.0,364396.0
2016-12-01,,,,47774.0,441050.0,441050.0
2017-01-01,0.0,0.0,0.0,45891.671,422800.0,422800.0
2017-02-01,0.0,0.0,0.0,45426.96,418519.0,418519.0
2017-03-01,0.0,0.0,0.0,55045.474,507134.0,507134.0
2017-04-01,0.0,0.0,0.0,53791.128,495578.0,495578.0
2017-05-01,0.0,0.0,0.0,48047.719,442664.0,442664.0
2017-06-01,0.0,0.0,0.0,36725.044,338348.0,338348.0
2017-07-01,0.0,0.0,0.0,34022.812,313452.0,313452.0
2017-08-01,0.0,0.0,0.0,27918.256,257211.0,257211.0
2017-09-01,0.0,0.0,0.0,35445.943,326563.0,326563.0
2017-10-01,0.0,0.0,0.0,44075.811,406070.0,406070.0
2017-11-01,0.0,0.0,0.0,42583.79,392324.0,392324.0
2017-12-01,0.0,0.0,0.0,37904.392,349213.0,349213.0
2018-01-01,0.0,0.0,0.0,46499.667,423333.0,423333.0
2018-02-01,0.0,0.0,0.0,42525.019,387148.0,387148.0
2018-03-01,0.0,0.0,0.0,50745.092,461983.0,461983.0
2018-04-01,0.0,0.0,0.0,52565.221,478554.0,478554.0
2018-05-01,0.0,0.0,0.0,53600.859,487982.0,487982.0
2018-06-01,0.0,0.0,0.0,53717.436,489044.0,489044.0
2018-07-01,0.0,0.0,0.0,32453.209,295454.0,295454.0
2018-08-01,0.0,0.0,0.0,41432.412,377201.0,377201.0
2018-09-01,0.0,0.0,0.0,29011.22,264118.0,264118.0
2018-10-01,0.0,0.0,0.0,38653.6,351902.0,351902.0
2018-11-01,0.0,0.0,0.0,41748.587,380079.0,380079.0
2018-12-01,0.0,0.0,0.0,43992.678,400509.0,400509.0
