measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2005-01-01,1711.0030000000002,18387.8,18387.8
2005-02-01,1736.076,18657.26,18657.26
2005-03-01,2055.7940000000003,22093.21,22093.21
2005-04-01,1996.2620000000002,21453.42,21453.42
2005-05-01,1951.443,20971.76,20971.76
2005-06-01,2068.042,22224.82,22224.82
2005-07-01,2174.717,23371.24,23371.24
2005-08-01,2110.92,22685.63,22685.63
2005-09-01,1902.776,20448.75,20448.75
2005-10-01,1554.736,16708.43,16708.43
2005-11-01,2190.157,23537.17,23537.17
2005-12-01,1885.075,20258.52,20258.52
2006-01-01,2855.638,33300.0,33300.0
2006-02-01,2639.0440000000003,30774.0,30774.0
2006-03-01,2911.042,33946.0,33946.0
2006-04-01,2141.822,24976.0,24976.0
2006-05-01,2618.561,30535.0,30535.0
2006-06-01,2743.045,31987.0,31987.0
2006-07-01,2846.826,33197.0,33197.0
2006-08-01,2829.706,32998.0,32998.0
2006-09-01,2706.681,31563.0,31563.0
2006-10-01,2808.6510000000003,32752.0,32752.0
2006-11-01,2836.702,33079.0,33079.0
2006-12-01,2733.2830000000004,31873.0,31873.0
2007-01-01,2812.326,34273.0,34273.0
2007-02-01,2500.6890000000003,30475.0,30475.0
2007-03-01,2612.018,31832.0,31832.0
2007-04-01,2311.3160000000003,28167.0,28167.0
2007-05-01,2403.204,29287.0,29287.0
2007-06-01,2880.679,35106.0,35106.0
2007-07-01,2974.897,36254.0,36254.0
2007-08-01,2880.7780000000002,35107.0,35107.0
2007-09-01,2630.574,32058.0,32058.0
2007-10-01,2574.335,31373.0,31373.0
2007-11-01,2483.346,30264.0,30264.0
2007-12-01,2918.838,35571.0,35571.0
2008-01-01,3410.4680000000003,34118.0,34118.0
2008-02-01,2685.525,26866.0,26866.0
2008-03-01,3667.08,36685.0,36685.0
2008-04-01,3334.605,33359.0,33359.0
2008-05-01,3352.512,33538.0,33538.0
2008-06-01,2947.9590000000003,29491.0,29491.0
2008-07-01,2821.646,28227.0,28227.0
2008-08-01,2666.275,26673.0,26673.0
2008-09-01,2802.6330000000003,28037.0,28037.0
2008-10-01,2530.41,25314.0,25314.0
2008-11-01,3841.862,38433.0,38433.0
2008-12-01,3333.025,33343.0,33343.0
2009-01-01,2528.2515000000003,30342.5,30342.5
2009-02-01,2408.2655,28902.5,28902.5
2009-03-01,2502.462,30033.0,30033.0
2009-04-01,1980.971,23774.5,23774.5
2009-05-01,2068.7395,24828.0,24828.0
2009-06-01,1999.691,23999.0,23999.0
2009-07-01,1994.065,23931.5,23931.5
2009-08-01,1900.3685,22807.0,22807.0
2009-09-01,1638.6080000000002,19665.5,19665.5
2009-10-01,1633.4965,19604.5,19604.5
