measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2017-01-01,213.133,1417.0,1417.0,30.12,277.0,277.0
2017-02-01,170.507,1134.0,1134.0,49.072,452.0,452.0
2017-03-01,161.323,1073.0,1073.0,67.373,621.0,621.0
2017-04-01,146.582,975.0,975.0,71.041,655.0,655.0
2017-05-01,132.47,881.0,881.0,70.511,650.0,650.0
2017-06-01,155.267,1033.0,1033.0,84.695,780.0,780.0
2017-07-01,211.768,1408.0,1408.0,82.82,763.0,763.0
2017-08-01,211.176,1404.0,1404.0,82.127,757.0,757.0
2017-09-01,156.207,1039.0,1039.0,66.313,611.0,611.0
2017-10-01,185.497,1234.0,1234.0,58.569,540.0,540.0
2017-11-01,207.998,1383.0,1383.0,35.989,332.0,332.0
2017-12-01,210.072,1397.0,1397.0,26.37,243.0,243.0
2018-01-01,131.631,752.0,752.0,33.827,308.0,308.0
2018-02-01,129.078,736.0,736.0,54.83,499.0,499.0
2018-03-01,152.703,871.0,871.0,88.249,803.0,803.0
2018-04-01,129.088,737.0,737.0,97.192,885.0,885.0
2018-05-01,121.069,690.0,690.0,113.288,1031.0,1031.0
2018-06-01,164.48,938.0,938.0,114.617,1043.0,1043.0
2018-07-01,198.063,1130.0,1130.0,105.419,960.0,960.0
2018-08-01,207.081,1182.0,1182.0,86.665,789.0,789.0
2018-09-01,171.711,979.0,979.0,60.247,548.0,548.0
2018-10-01,171.38,978.0,978.0,64.846,590.0,590.0
2018-11-01,181.384,1034.0,1034.0,47.216,430.0,430.0
2018-12-01,189.332,1080.0,1080.0,53.604,488.0,488.0
2019-01-01,167.975,1585.0,1585.0,38.313,341.0,341.0
2019-02-01,150.102,1418.0,1418.0,44.248,394.0,394.0
2019-03-01,151.405,1430.0,1430.0,62.199,554.0,554.0
2019-04-01,165.439,1562.0,1562.0,68.171,607.0,607.0
2019-05-01,157.693,1489.0,1489.0,68.838,613.0,613.0
2019-06-01,172.457,1629.0,1629.0,75.922,676.0,676.0
2019-07-01,231.169,2183.0,2183.0,90.907,810.0,810.0
2019-08-01,211.347,1996.0,1996.0,75.255,670.0,670.0
2019-09-01,170.197,1607.0,1607.0,70.952,632.0,632.0
2019-10-01,141.265,1334.0,1334.0,47.994,427.0,427.0
2019-11-01,177.872,1680.0,1680.0,38.759,345.0,345.0
2019-12-01,221.079,2088.0,2088.0,24.442,218.0,218.0
2020-01-01,173.008,2040.0,2040.0,23.478,206.0,206.0
2020-02-01,162.119,1912.0,1912.0,27.602,242.0,242.0
2020-03-01,146.926,1733.0,1733.0,39.359,345.0,345.0
2020-04-01,150.417,1774.0,1774.0,37.037,325.0,325.0
2020-05-01,133.36,1573.0,1573.0,51.944,455.0,455.0
2020-06-01,178.296,2103.0,2103.0,49.404,433.0,433.0
2020-07-01,214.327,2528.0,2528.0,49.025,430.0,430.0
2020-08-01,190.954,2252.0,2252.0,45.048,395.0,395.0
2020-09-01,168.319,1986.0,1986.0,41.172,361.0,361.0
2020-10-01,137.395,1621.0,1621.0,29.279,257.0,257.0
2020-11-01,153.603,1812.0,1812.0,24.563,215.0,215.0
2020-12-01,173.276,2044.0,2044.0,17.089,150.0,150.0
2021-01-01,139.785,1099.0,1099.0,15.906,141.0,141.0
2021-02-01,128.787,1013.0,1013.0,11.55,102.0,102.0
2021-03-01,143.744,1131.0,1131.0,30.129,266.0,266.0
2021-04-01,110.321,868.0,868.0,22.641,200.0,200.0
2021-05-01,123.315,971.0,971.0,33.133,293.0,293.0
2021-06-01,158.457,1246.0,1246.0,32.783,290.0,290.0
2021-07-01,161.4,1270.0,1270.0,26.763,237.0,237.0
2021-08-01,173.585,1366.0,1366.0,27.522,243.0,243.0
2021-09-01,146.055,1149.0,1149.0,25.042,221.0,221.0
2021-10-01,125.89,990.0,990.0,19.67,174.0,174.0
2021-11-01,173.208,1363.0,1363.0,19.841,175.0,175.0
2021-12-01,149.453,1176.0,1176.0,11.02,97.0,97.0
