measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-07-01,14193.0,318423.0,318423.0
2001-08-01,25032.0,570379.0,570379.0
2001-09-01,3523.0,28155.0,28155.0
2001-10-01,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0
2001-12-01,39.0,801.0,801.0
2002-01-01,0.0,25.0,25.0
2002-02-01,2233.0,24119.0,24119.0
2002-03-01,4103.0,43705.0,43705.0
2002-04-01,14948.0,159059.0,159059.0
2002-05-01,525.0,5512.0,5512.0
2002-06-01,5179.0,56136.0,56136.0
2002-07-01,7685.0,83562.0,83562.0
2002-08-01,9296.0,99508.0,99508.0
2002-09-01,0.0,0.0,0.0
2002-10-01,0.0,4982.0,4982.0
2002-11-01,757.0,16237.0,16237.0
2002-12-01,347.0,4069.0,4069.0
2003-01-01,1525.0,15939.0,15939.0
2003-02-01,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0
2003-04-01,1628.0,17688.0,17688.0
2003-05-01,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0
2003-07-01,1143.0,12209.0,12209.0
2003-08-01,2260.0,23790.0,23790.0
2003-09-01,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0
2004-01-01,565.0,6097.0,6097.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,23.0,313.0,313.0
2004-06-01,0.0,0.0,0.0
2004-07-01,3.0,42.0,42.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,2.0,58.0,58.0
2004-11-01,74.0,808.0,808.0
2004-12-01,1468.0,15286.0,15286.0
2005-01-01,16388.0,174880.7,174880.7
2005-02-01,4488.0,42540.83,42540.83
2005-03-01,11999.0,125991.87,125991.87
2005-04-01,7135.0,76182.24,76182.24
2005-05-01,5299.0,55969.49,55969.49
2005-06-01,7197.0,77720.95,77720.95
2005-07-01,12860.0,138765.82,138765.82
2005-08-01,18328.0,197540.28,197540.28
2005-09-01,2911.0,31567.5,31567.5
2005-10-01,6410.0,73234.89,73234.89
2005-11-01,12793.0,148873.92,148873.92
2005-12-01,25651.0,280893.6,280893.6
2006-01-01,6396.0,76369.0,76369.0
2006-02-01,8378.0,88799.0,88799.0
2006-03-01,10114.0,110776.0,110776.0
2006-04-01,5169.0,62873.0,62873.0
2006-05-01,13876.0,155184.0,155184.0
2006-06-01,8965.0,102769.0,102769.0
2006-07-01,45803.0,528724.0,528724.0
2006-08-01,35451.0,396646.0,396646.0
2006-09-01,11176.0,130691.0,130691.0
2006-10-01,13866.0,164948.0,164948.0
2006-11-01,12186.0,141447.0,141447.0
2006-12-01,6802.0,74044.0,74044.0
2007-01-01,17564.0,183880.0,183880.0
2007-02-01,4387.0,49461.0,49461.0
2007-03-01,13958.0,119694.0,119694.0
2007-04-01,21870.0,140595.0,140595.0
2007-05-01,14693.0,106626.0,106626.0
2007-06-01,14693.0,144338.0,144338.0
2007-07-01,18194.0,210368.0,210368.0
2007-08-01,32867.0,367525.0,367525.0
2007-09-01,21297.0,245402.0,245402.0
2007-10-01,6830.0,79463.0,79463.0
2007-11-01,7274.0,78554.0,78554.0
2007-12-01,7459.0,85878.0,85878.0
2009-01-01,2231.0,25853.0,25853.0
2009-02-01,2365.0,25853.0,25853.0
2009-03-01,2165.0,26535.0,26535.0
2009-04-01,2882.0,32345.0,32345.0
2009-05-01,4290.0,48304.0,48304.0
2009-06-01,1529.0,17344.0,17344.0
2009-07-01,0.0,0.0,0.0
2009-08-01,3271.0,38842.0,38842.0
2009-09-01,4279.0,51820.0,51820.0
2009-10-01,3857.0,45883.0,45883.0
2009-11-01,875.0,10258.0,10258.0
2009-12-01,1066.0,11968.0,11968.0
2010-01-01,1179.0,13189.0,13189.0
2010-02-01,21.0,2726.0,2726.0
2010-03-01,562.0,6627.0,6627.0
2010-04-01,834.0,10056.0,10056.0
2010-05-01,1694.0,19652.0,19652.0
2010-06-01,498.0,6022.0,6022.0
2010-07-01,6975.0,82360.0,82360.0
2010-08-01,9100.0,105753.0,105753.0
2010-09-01,3476.0,43136.0,43136.0
2010-10-01,450.0,5495.0,5495.0
2010-11-01,477.0,5447.0,5447.0
2010-12-01,3701.0,42829.0,42829.0
