measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2001-01-01,28261.0,292020.91,292020.91
2001-02-01,27561.0,284787.81,284787.81
2001-03-01,26595.0,274806.14,274806.14
2001-04-01,28112.0,290481.3,290481.3
2001-05-01,30386.0,313978.54,313978.54
2001-06-01,30138.0,311415.95,311415.95
2001-07-01,30838.0,318649.05,318649.05
2001-08-01,31246.0,322864.92,322864.92
2001-09-01,30194.0,311994.6,311994.6
2001-10-01,30591.0,316096.8,316096.8
2001-11-01,28705.0,296608.77,296608.77
2001-12-01,30408.0,314205.86,314205.86
2002-01-01,28794.0,292921.36,292921.36
2002-02-01,11855.0,120600.92,120600.92
2002-03-01,30847.0,313806.53,313806.53
2002-04-01,29806.0,303216.44,303216.44
2002-05-01,30720.0,312514.56,312514.56
2002-06-01,29909.0,304264.26,304264.26
2002-07-01,31248.0,317885.9,317885.9
2002-08-01,31023.0,315596.98,315596.98
2002-09-01,29913.0,304304.95,304304.95
2002-10-01,31217.0,317570.54,317570.54
2002-11-01,29720.0,302341.56,302341.56
2002-12-01,29993.0,305118.79,305118.79
2003-01-01,30092.0,308172.17,308172.17
2003-02-01,20291.0,207800.13,207800.13
2003-03-01,30615.0,313528.22,313528.22
2003-04-01,30198.0,309257.72,309257.72
2003-05-01,31197.0,319488.48,319488.48
2003-06-01,30196.0,309237.24,309237.24
2003-07-01,30493.0,312278.81,312278.81
2003-08-01,29545.0,302570.35,302570.35
2003-09-01,25075.0,256793.08,256793.08
2003-10-01,30193.0,309206.51,309206.51
2003-11-01,26029.0,266562.99,266562.99
2003-12-01,27995.0,286696.8,286696.8
2004-01-01,29643.0,297082.15,297082.15
2004-02-01,28342.0,284043.52,284043.52
2004-03-01,13179.0,132079.94,132079.94
2004-04-01,21471.0,215182.36,215182.36
2004-05-01,30706.0,307735.53,307735.53
2004-06-01,28828.0,288914.22,288914.22
2004-07-01,29057.0,291209.25,291209.25
2004-08-01,27650.0,277108.3,277108.3
2004-09-01,29134.0,291980.95,291980.95
2004-10-01,30181.0,302473.98,302473.98
2004-11-01,29298.0,293624.56,293624.56
2004-12-01,31210.0,312786.62,312786.62
2005-01-01,31240.0,312368.76,312368.76
2005-02-01,27552.0,275492.45,275492.45
2005-03-01,31228.0,312248.77,312248.77
2005-04-01,28400.0,283971.6,283971.6
2005-05-01,23459.0,234566.54,234566.54
2005-06-01,30150.0,301469.85,301469.85
2005-07-01,30341.0,303379.66,303379.66
2005-08-01,27279.0,272762.72,272762.72
2005-09-01,29565.0,295620.44,295620.44
2005-10-01,25763.0,257604.24,257604.24
2005-11-01,30240.0,302369.76,302369.76
2005-12-01,30757.0,307539.24,307539.24
2006-01-01,28275.0,280459.73,280459.73
2006-02-01,28224.0,279953.86,279953.86
2006-03-01,10080.0,99983.52,99983.52
2006-04-01,24926.0,247240.99,247240.99
2006-05-01,30086.0,298423.03,298423.03
2006-06-01,29916.0,296736.8,296736.8
2006-07-01,29689.0,294485.19,294485.19
2006-08-01,29727.0,294862.11,294862.11
2006-09-01,27390.0,271681.41,271681.41
2006-10-01,30746.0,304969.57,304969.57
2006-11-01,29375.0,291370.63,291370.63
2006-12-01,30048.0,298046.11,298046.11
2007-01-01,31805.0,314360.62,314360.62
2007-02-01,19502.0,192757.77,192757.77
2007-03-01,24286.0,240042.82,240042.82
2007-04-01,29976.0,296282.78,296282.78
2007-05-01,31990.0,316189.16,316189.16
2007-06-01,31069.0,307086.0,307086.0
2007-07-01,30787.0,304298.71,304298.71
2007-08-01,29975.0,296272.9,296272.9
2007-09-01,29351.0,290105.28,290105.28
2007-10-01,30632.0,302766.69,302766.69
2007-11-01,27538.0,272185.59,272185.59
2007-12-01,32133.0,317602.57,317602.57
2008-01-01,30585.743,301391.91000000003,301391.91000000003
2008-02-01,27666.021,272620.97000000003,272620.97000000003
2008-03-01,29092.363,286676.15,286676.15
2008-04-01,28054.936,276453.34,276453.34
2008-05-01,29065.816,286414.55,286414.55
2008-06-01,29511.171000000002,290803.08,290803.08
2008-07-01,30075.767,296366.61,296366.61
2008-08-01,29714.701,292808.66000000003,292808.66000000003
2008-09-01,28860.502,284391.39,284391.39
2008-10-01,29848.999,294132.04,294132.04
2008-11-01,28509.14,280929.07,280929.07
2008-12-01,29014.841,285912.24,285912.24
2009-01-01,29791.569000000003,290765.71,290765.71
2009-02-01,26986.69,263390.09,263390.09
2009-03-01,30005.745,292856.07,292856.07
2009-04-01,28593.511,279072.67,279072.67
2009-05-01,29171.457000000002,284713.42,284713.42
2009-06-01,28240.31,275625.43,275625.43
2009-07-01,29767.787,290533.6,290533.6
2009-08-01,29495.894,287879.93,287879.93
2009-09-01,28694.862,280061.85,280061.85
2009-10-01,29481.55,287739.93,287739.93
2009-11-01,28885.597999999998,281923.44,281923.44
2009-12-01,30885.027000000002,301437.86,301437.86
2010-01-01,30538.744,297936.0,297936.0
2010-02-01,27433.092,267637.0,267637.0
2010-03-01,29903.442000000003,291738.0,291738.0
2010-04-01,28300.619,276101.0,276101.0
2010-05-01,29719.945,289948.0,289948.0
2010-06-01,28791.712,280892.0,280892.0
2010-07-01,29612.003,288895.0,288895.0
2010-08-01,29805.5,290782.0,290782.0
2010-09-01,28911.519,282061.0,282061.0
2010-10-01,27695.391,270196.0,270196.0
2010-11-01,28983.269,282761.0,282761.0
2010-12-01,30304.764,295653.0,295653.0
