measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2002-01-01,,,,3.837,42.0,42.0,,,
2002-02-01,,,,3.6180000000000003,40.0,40.0,,,
2002-03-01,,,,3.984,44.0,44.0,,,
2002-04-01,,,,3.689,41.0,41.0,,,
2002-05-01,,,,3.8840000000000003,43.0,43.0,,,
2002-06-01,,,,4.4190000000000005,49.0,49.0,,,
2002-07-01,,,,5.086,56.0,56.0,,,
2002-08-01,,,,4.952,55.0,55.0,,,
2002-09-01,,,,4.375,48.0,48.0,,,
2002-10-01,,,,4.069,45.0,45.0,,,
2002-11-01,,,,3.8770000000000002,43.0,43.0,,,
2002-12-01,,,,4.211,47.0,47.0,,,
2003-01-01,,,,4.558,50.0,50.0,,,
2003-02-01,,,,4.022,44.0,44.0,,,
2003-03-01,,,,4.139,46.0,46.0,,,
2003-04-01,,,,3.717,41.0,41.0,,,
2003-05-01,,,,3.793,42.0,42.0,,,
2003-06-01,,,,4.023000000000001,44.0,44.0,,,
2003-07-01,,,,4.652,51.0,51.0,,,
2003-08-01,,,,4.933,55.0,55.0,,,
2003-09-01,,,,4.133,46.0,46.0,,,
2003-10-01,,,,3.8770000000000002,43.0,43.0,,,
2003-11-01,,,,3.8640000000000003,43.0,43.0,,,
2003-12-01,,,,4.289000000000001,47.0,47.0,,,
2004-01-01,,,,3.08,34.0,34.0,,,
2004-02-01,,,,2.087,23.0,23.0,,,
2004-03-01,,,,0.9810000000000001,11.0,11.0,,,
2004-04-01,,,,2.1020000000000003,23.0,23.0,,,
2004-05-01,,,,4.1610000000000005,46.0,46.0,,,
2004-06-01,,,,7.3020000000000005,81.0,81.0,,,
2004-07-01,,,,8.25,91.0,91.0,,,
2004-08-01,,,,5.4030000000000005,60.0,60.0,,,
2004-09-01,,,,3.406,38.0,38.0,,,
2004-10-01,,,,4.524,50.0,50.0,,,
2004-11-01,,,,3.9320000000000004,43.0,43.0,,,
2004-12-01,,,,4.771,53.0,53.0,,,
2005-01-01,,,,3.456,38.23,38.23,,,
2005-02-01,,,,3.064,33.89,33.89,,,
2005-03-01,,,,3.656,40.44,40.44,,,
2005-04-01,,,,3.749,41.46,41.46,,,
2005-05-01,,,,3.041,33.63,33.63,,,
2005-06-01,,,,5.174,57.22,57.22,,,
2005-07-01,,,,6.667000000000001,73.74,73.74,,,
2005-08-01,,,,7.128,78.84,78.84,,,
2005-09-01,,,,4.715,52.15,52.15,,,
2005-10-01,,,,3.261,36.07,36.07,,,
2005-11-01,,,,2.927,32.37,32.37,,,
2005-12-01,,,,3.1620000000000004,34.98,34.98,,,
2006-01-01,,,,0.0,0.0,39.64,0.0,0.0,0.0
2006-02-01,,,,0.0,0.0,39.53,0.0,0.0,0.0
2006-03-01,,,,0.0,0.0,43.12,0.0,0.0,0.0
2006-04-01,,,,0.0,0.0,36.26,0.0,0.0,0.0
2006-05-01,,,,0.0,0.0,35.17,0.0,0.0,0.0
2006-06-01,,,,0.0,0.0,44.99,0.0,0.0,0.0
2006-07-01,,,,0.0,0.0,67.37,0.0,0.0,0.0
